a              .6 -w
dennis      .dEnIs -w
dense        .dEns -w
dentist        .dEntIst -w
dentist's      .dEntIsts -w
deny    .dIn9 -w
depend         .dIpEnd -w
depended      .dIpEnd6d -w
depending      .dIpEndIN -w
depends        .dIpEndz -w
deposit     .dIpazIt -w
deprive     .dIpr9v -w
deprived   .dIpr9vd -w
derived       .dIr9vd -w
desert        .dEz3t -w
deserve     .dIz3v -w
design      .dIz9n -w
desire         .dIz9R -w
desitin       .dEzItIn -w
desk           .dEsk -w
despise    .dIsp9z -w
dessert        .dIz3t -w
destroy     .dIstr7 -w
destroying    .dIstr7IN -w
destruction    .dIstrAkS~ -w
destructive        .dIstrAktIv -w
detergent          .dItRGEnt -w       
detergents        .dItRGEnts -w
determine       .dIt3m~ -w
determined      .dIt3m~d -w
detour      .dit# -w
device      .dIv9s -w
devil      .dEvL -w
devon     .dEv~ -w
devotion   .dIvoS~ -w
devour      .divQr -w
dew       .du -w
dextrous       .dEkstr6s -w
dial           .d9L -w
dialect      .d96lEkt -w
dialing      .d96lIN -w
dials          .d9Lz -w
diamond     .d9m~d -w
diamonds    .d9m~dz -w
diaper         .d9pR -w
diapers        .d9pRz -w
diapie     .d9pi -w
diarrhea    .d96ri6 -w
dickory     .dIk3i -w
dictionary   .dIkS~*i -w
did            .dId -w
diddle      .dIdL -w
didey       .d9di -w
dideys     .d9diz -w
didi@o     .didi -w
dididi@o    .di -w .di -w .di -w
didn't         .dId~t -w
die             .d9 -w
died            .d9d -w
dieing       .d9IN -w
dies             .d9z -w
diesha      .d9iS6 -w
diet             .d96t -w
dieting          .d96tIN -w
diets             .d96ts -w
difference     .dIfr~s -w
differences    .dIfr~s6z -w
different      .dIfr~t -w
differentiate  .dIf6rEnSiet -w
differently    .dIfr~tli -w
difficult      .dIfIkAlt -w
difficulty     .dIfIkAlti -w
dig            .dIg -w
digby          .dIgbi -w
digger     .dIgR -w
digging    .dIgIN -w
digits         .dIGIt -w
digs       .dIgz -w
dillards       .dIlRdz -w
dillon       .dIl~ -w
dillon's     .dIl~z -w
dimples    .dImpLz -w
ding        .dIN -w
dining         .d9nIN -w
dinner         .dInR -w
dinners      .dInRz -w
dinnertime     .dInRt9m -w
dinosaur       .d9n6s% -w
dinosaur's     .d9n6s%z -w
dip       .dIp -w
dips     .dIps -w
dipsie    .dIpsi -w
dipsy    .dIpsi -w
direct    .dIrEkt -w
directing      .dIrEktIN -w
direction      .dIrEkS~ -w
directions     .dIrEkS~z -w
dirt           .d3t -w
dirt's      .d3ts -w
dirty          .d3ti -w
dis        .dIs -w
disappear       .dIs6p( -w
disappeared    .dIs6p(d -w
disappearing   .dIs6p(IN -w
disappointing   .dIs6p7ntIN -w
disaster          .dIz&stR -w
disc       .dIsk -w
discontent     .dIsk~tEnt -w
discover      .dIskAvR -w
discovered     .dIskAvRd -w
discoverer    .dIskAvRR -w
discovery     .dIskAvRi -w
discs      .dIsks -w
discuss     .dIskAs -w
discussed      .dIskAst -w
discussion      .dIskAS~ -w
disguised      .dIsk9zd -w
disgust           .dIsgAst -w
disgusted       .dIsgAst6d -w
disgusting       .dIsgAstIN -w
dish           .dIS -w
dishes          .dIS6z -w
dishrag    .dISr&g -w
dishwasher     .dISwaSR -w
disinfected     .dIsInfEkt6d -w
dismantle      .dIsm&ntL -w
dismay         .dIsme -w
disney         .dIzni -w
disney's      .dizniz -w
disobedient     .dIsobidi~t -w
disobey      .dIsobe -w
disposal    .dIzpozL -w
dispose      .dIzpoz -w
disposition   .dIsp6zIS~ -w
distinct       .dIstINkt -w
distinction    .dIstINkS~ -w
distinguishes  .dIstINgwISIz -w
distracted     .dIstr&kt6d -w
distracting    .dIstr&ktIN -w
distraction     .dIstr&kS~ -w
distracts      .dIstr&kts -w
disturb       .dIst3b -w
ditty      .dIti -w
dive           .d9v -w
dived     .d9vd -w
dives          .d9vz -w
divine     .dIv9n -w
diving         .d9vIN -w
dizzy     .dIzi -w
do             .du -w
do@si      .do -w  .si -w
dock        .dak -w
doctor         .daktR -w
doctor's       .daktRz -w
dodge     .daG -w
does           .dAz -w
doesn't        .dAz~t -w
dog            .dOg -w
dog's          .dOgz -w
doggie         .dOgi -w
doggie's       .dOgiz -w
doggies        .dOgiz -w
doggone      .dOgan -w
doggy          .dOgi -w
doggy's        .dOgiz -w
doghouse       .dOghQs -w
dogs           .dOgz -w
doing          .duIN -w
doll           .dal -w
doll's         .dalz -w
dollar     .dalR -w
dollars        .dalRz -w
dollhouse      .dalhQs -w
dollie           .dali -w
dollie's        .daliz -w
dollies        .daliz -w
dolls          .dalz -w
dolly          .dali -w
dolly's        .daliz -w
dolphin        .dalfIn -w
dolphins     .dalfInz -w
dome     .dom -w
domestic       .d6mEstIk -w
don             .dan -w
don't          .dont -w
donald         .danLd -w
donald's     .danLdz -w
done           .dAn -w
dong     .daN -w
donkey   .daNki -w
donkeys  .daNkiz -w
donna    .dan6 -w
donovan   .dan6v~ -w
donut          .don6t -w
doo    .du -w
doodle  .dudL -w
doodoo    .dudu -w
doopsie    .dupsi -w
door           .d% -w
door's         .d%z -w
doorbell       .d%bEl -w
doorbells      .d%bElz -w
doors          .d%z -w
doorstop    .d%stap -w
doorway        .d%we -w
doozy   .duzi -w
doremifasolatido@si    .do -w .re -w .mi -w .fa -w .so -w .la -w .ti -w .do -w
dorm   .d#m -w
dos      .duz -w
dot        .dat -w
doting     .dotIN -w
dotty   .dati -w
double         .dAbL -w
doubling       .dAblIN -w
doubt          .dQt -w
dough          .do -w
doughnut     .donAt -w
doughnuts    .donAts -w
dove      .dov -w
dover    .dovR -w
down           .dQn -w
downie     .dQni -w
download    .dQnlod -w
downloaded   .dQnlod6d -w
downstairs    .dQnst*z -w
downstream  .dQnstrim -w
downtown     .dQntQn -w
downy        .dQni -w
doze      .doz -w
dozen          .dAz~ -w
drag           .dr&g -w
dragged       .dr&gd -w
dragging       .dr&gIN -w
dragon         .dr&g~ -w
dragon's       .dr&g~z -w
dragonfly  .dr&g~fl9 -w
dragons        .dr&g~z -w
drags            .dr&gz -w
drags          .dr&gz -w
drain   .dren -w
drainage    .dren6G -w
drama   .dram6 -w
dramatic   .drm&tIk -w
drank    .dr&Nk -w
drape          .drep -w
draw           .drO -w
drawer        .dr% -w
drawers        .dr%z -w
drawing        .drOIN -w
draws          .drOz -w
dreadful    .drEdfL -w
dream      .drim -w
dreamed   .drimd -w
dreaming    .drimIN -w
dreams    .drimz -w
dreamy    .drimi -w
drenched     .drEnct -w
dress          .drEs -w
dressed        .drEst -w
dresser        .drEsR -w
dresses        .drEsIz -w
dressing      .drEsIN -w
drew     .dru -w
dried    .dr9d -w
drill   .drIl -w
drink          .drINk -w
drink's        .drINks -w
drinkie      .drINki -w
drinking       .drINkIN -w
drinks         .drINks -w
drip   .drIp -w
dripping   .drIpIN -w
drippy     .drIpi -w
drips    .drIps -w
drive          .dr9v -w
driver   .dr9vR -w
drives   .dr9vz -w
driveway       .dr9vwe -w
driving         .dr9vIN -w
drool  .drul -w
drooling   .drulIN -w
drooly       .druli -w
droopy     .drupi -w
drop           .drap -w
dropped        .drapt -w
dropping      .drapIN -w
drops   .draps -w
drove          .drov -w
drown    .drQn -w
drum           .drAm -w
drum's         .drAmz -w
drummer      .drAmR -w
drumming       .drAmIN -w
drummond       .drAm~d -w
drums     .drAmz -w
drunk     .drANk -w
drunken   .drANk~ -w
dry            .dr9 -w
dryer     .dr9R -w
drying    .dr9IN -w
drys   .dr9z -w
dub            .dAb -w
duck           .dAk -w
duckie         .dAki -w
duckie's    .dAkiz -w
duckies        .dAkiz -w
ducklings      .dAklINz -w
ducks          .dAks -w
dude     .dud -w
due           .du -w
dueling     .dulIN -w
dug   .dAg -w
dukes    .duks -w
dum      .dAm -w
dumb            .dAm -w
dumbo          .dAmbo -w
dummy   .dAmi -w
dump           .dAmp -w
dumped       .dAmpt -w
dumping    .dAmpIN -w
dumpling  .dAmplIN -w
dumpty         .dAmpti -w
dumpty's       .dAmptiz -w
duplo      .duplo -w
duress     .d)Es -w
during         .d)IN -w
dust    .dAst -w
dusted   .dAst6d -w
dusting    .dAstIN -w
dustpan     .dAstp&n -w
dusty       .dAsti -w
dvd             .di -w .vi -w .di -w
dwight    .dw9t -w
dya       .dy6 -w
dye    .d9 -w
dyed   .d9d -w
dyeisha       .d9iS6 -w
dyeisha's     .d9iS6z -w
dyes     .d9z -w
dyiesha     .d9iS6 -w
dying     .d9IN -w
e              .i -w
e@l            .i -w
e@l-s          .i -w
each           .ic -w
ear            .( -w
ear's          .(z -w
earache     .(ek -w
eardrum    .(drAm -w
earlier        .3liR -w
early          .3li -w
earned       .3nd -w
earphones      .(fonz -w
earring      .(IN -w
earrings     .(INz -w
ears           .(z -w
earth         .3T -w
earthquake    .3Tkwek -w
ease    .iz -w
easier         .iziR -w
easiest        .iziIst -w
easily         .izli -w
easter       .istR -w
easy           .izi -w
eat            .it -w
eaten          .it~ -w
eater    .itR -w
eating         .itIN -w
eats           .its -w
ecosystem   .ikosIstM -w
ecta@q     .Ekt6 -w
eddie      .Edi -w
eden     .id~ -w
edge     .EG -w
edges    .Eg6z -w
edible     .Ed6bL -w
educational    .EGUkeS6nL -w
edward         .EdwRd -w
eel       .il -w
eensie    .insi -w
eeyore    .i# -w
effort       .EfRt -w
efg@k    .i -w .Ef -w .Gi -w
egg            .Eg -w
eggfooyung    .Eg -w .fu -w .yAN -w
eggs           .Egz -w
eh       .E -w
eight          .et -w
eighteen       .etin -w
eighth     .eT -w
either         .iDR -w
el               .El -w
elastic        .Il&stIk -w
elbow       .Elbo -w
elbows     .Elboz -w
eleanor        .El6nR -w
electrical      .IlEktrIkL -w
electrician     .IlEktrIS~ -w
electricity       .IlEktrIsIti -w
electrocute        .IlEktrpkyut -w
electrocuted      .IlEktrokyut6d -w
electrolytes      .IlEktrol9ts -w
electronically    .IlEktranIkli -w
elegant    .El6g~t -w
elephant       .El6f~t -w
elephant's    .El6f~ts -w
elephants      .El6f~ts -w
eleven         .IlEv~ -w
eleventh    .IlEv~T -w
elijah     .Il9G6 -w
elisse      .Elis -w
elizabeth     .IlIz6bET -w
elizabeth's   .IlIz6bETs -w
ella           .El6 -w
ellie          .Eli -w
elmo          .Elmo -w
elmo's      .Elmoz -w
else           .Els -w
else's         .ElsIz -w
eluded         .IludId -w
elves    .Elvz -w
email    .imel -w
embarrassed   .Emb*6st -w
emergency      .Im3G~si -w
emily       .EmIli -w
emmy    .Emi -w
emmy's   .Emiz -w
emote          .Imot -w
emotional    .ImoS~L -w
emperor's    .EmpRRz -w
empty    .Empti -w
enamel    .In&mL -w
encourage      .Enk3IG -w
encouraged     .Enk3IGd -w
encouraging    .Enk3IGIN -w
end            .End -w
ended          .EndId -w
endlessly     .Endl6sli -w
ends           .Endz -w
enemy     .En6mi -w
energy         .EnRGi -w
engine         .EnG~ -w
english        .INglIS -w
enjoy          .EnG7 -w
enjoyed        .EnG7d -w
enjoying       .EnG7IN -w
enjoys         .EnG7z -w
enormous    .In#m6s -w
enough         .InAf -w
enter            .EntR -w
entered        .EntRd -w
entering        .EntRIN -w
enters          .EntRz -w
entertained     .EntRtend -w
entertaining    .EntRtenIN -w
entertainment  .EntRtenm~t -w
enthusiastic   .EnTuzi&stIk -w
entice         .Ent9s -w
entire     .Ent9r -w
entirely    .Ent9rli -w
entrance   .Entr~s -w
entrapment    .Entr&pm~t -w
entry      .Entri -w
envelope    .Env6lop -w
envelopes    .Env6lops -w
environment    .Env9r~m~t -w
equipment      .IkwIpm~t -w
er         .3 -w
eric     .ErIk -w
erin              .ErIn -w
ernie          .3ni -w
ernie's        .3niz -w
escape    .Eskep -w
escaped    .Eskept -w
especially     .IspES6li -w
estate       .Estet -w
eternal     .it3nL -w
etti     .Eti -w
european      .yUr6pi6n -w
evaporate       .Iv&pRet -w
evaporated      .Iv&pRet6d -w
eve  .iv -w
even           .iv~ -w
evening        .ivnIN -w
event          .IvEnt -w
eventually   .IvEnc6li -w
ever           .EvR -w
every          .Evri -w
everybody      .Evribadi -w
everybody's    .Evribadiz -w
everyone       .EvriwAn -w
everyone's     .EvriwAnz -w
everyplace     .Evriples -w
everything     .EvriTIN -w
everything's     .EvriTINz -w
everywhere     .Evriw* -w
evil                .ivL -w
ew       .u -w
ewe      .yu -w
ewie     .yui -w
exact   .Igz&kt -w
exactly        .Igz&ktli -w
exalted   .Igzalt6d -w
examples       .Igz&mpLz -w
excellent     .EgsEl~t -w
except         .IksEpt -w
excess    .EksEs -w
excited        .Iks9tId -w
excitement   .Iks9tm~t -w
exciting       .Iks9tIN -w
excuse          .Iksyus -w
excuses        .IkskyusIz -w
exercise       .EksRs9z -w
exercises     .Eks3s9z6z -w
exercising   .Eks3s9zIN -w
exersaucer   .Eks3sOsR -w
exert          .Igz3t -w
exhibits     .EgzIbIts -w
exists     .IgzIsts -w
exodus    .Eksod6s -w
expect         .IkspEkt -w
expectations   .IkspEkteS~z -w
expected       .IkspEkt6d -w
expecting      .IkspEctIN -w
expects          .IkspEkts -w
expedition      .Eksp6dIS~ -w
expensive      .IkspEnsIv -w
experience     .Iksp(i~s -w
experiment    .Iksp*Im~t -w
explain        .Iksplen -w
explanation   .Ikspl6neS~ -w
exploded    .Iksplod6d -w
explore        .Ikspl% -w
exploring      .Ikspl%IN -w
explosion     .IksploZ~ -w
exposed        .Ikspozd -w
express           .IksprEs -w
expresses         .IksprEs6z -w
expression     .IksprES~ -w
extent         .IkstEnt -w
external    .Ikst3nL -w
extinguisher     .EkstINgwISR -w
extra    .Ekstr6 -w
extract         .Ekstr&kt -w
extracted     .Ekstr&kt6d -w
extracting       .Ekstr&ktIN -w
extracts          .Ekstr&kts -w
extraordinarily .Ikstr%d~*6li -w
extraordinary  .Ikstr%d~*i -w
extremely     .Ikstrimli -w
eye            .9 -w
eyeball     .9bOl -w
eyebrow     .9brQ -w
eyebrows   .9brQz -w
eyeglass    .9gl&s -w
eyeglasses   .9gl&s6z -w
eyeore      .i# -w
eyes           .9z -w
eyesight    .9s9t -w
eyore      .i# -w
eyore's     .i#z -w
f       .Ef -w
f@l            .Ef -w
fa@si       .fasi -w
fabulous    .f&byul6s -w
face           .fes -w
facecloth      .fesklaT -w
faced        .fest -w
faces        .fes6s -w
facie       .fesi -w
facing      .fesIN -w
fact           .f&kt -w
fade       .fed -w
fair           .f* -w
fairies        .f*iz -w
fairly     .f*li -w
fairy           .f*i -w
faithful      .feTfL -w
fake           .fek -w
faked        .fekt -w
faker         .fekR -w
fakes         .feks -w
faking           .fekIN -w
fall           .fOl -w
fallen    .fOl~ -w
falling        .fOlIN -w
falls      .fOlz -w
false     .fOls -w
familiar       .f6mIlyR -w
families    .f&mliz -w
family         .f&mli -w
famous   .fem6s -w
fan            .f&n -w
fan's        .f&nz -w
fancy          .f&nsi -w
fanny     .f&ni -w
fantabalocious  .f&nt&b6loS6s -w
fantastic      .f&nt&stIk -w
far            .f# -w
faraway    .f#6we -w
farm           .f#m -w
farmer       .f#mR -w
farmer's    .f#mRz -w
farmyard    .f#my#d -w
fart     .f#t -w
farted   .f#t6d -w
farther   .f#DR -w
fartie   .f#ti -w
fascinated     .f&s6netId -w
fascinating     .f&s6netIN -w
fascination    .f&s6neS~ -w
fast           .f&st -w
fasten    .f%s~ -w
fastens    .f%s~z -w
faster         .f&stR -w
fat            .f&t -w
fates    .fets -w
father         .faDR -w
father's    .faDRz -w
fathers    .faDRz -w
fault          .fOlt -w
favor     .fevR -w
favorite       .fevrIt -w
favorites      .fevrIts -w
favoritest  .fevrIt6st -w
fawn     .fOn -w
faye  .fe -w
fear    .f( -w
feast   .fist -w
feather        .fEDR -w
feathers    .fEDRz -w
feathery  .fEDRi -w
fed            .fEd -w
fee              .fi -w
feed           .fid -w
feeder     .fidR -w
feeding        .fidIN -w
feeds          .fidz -w
feel           .fil -w
feeling        .filIN -w
feelings    .filINz -w
feels          .filz -w
fees            .fiz -w
feet           .fit -w
feet'll    .fitL -w
feetie  .fiti -w
feeties .fitiz -w
feets         .fits -w
feetsies   .fitsiz -w
feisty  .f9sti -w
fell           .fEl -w
fella  .fEl6 -w
fellow  .fElo -w
felt           .fElt -w
fence    .fEnts -w
fenced    .fEntst -w
fennel   .fenL -w
ferocious      .f6roS6s -w
ferris   .fErIs -w
ferry    .fEri -w
fetch    .fEtc -w
fettuccini   .fEt6cini -w
fever      .fivR -w
few            .fyu -w
fiber            .f9bR -w
fickle    .fIkL -w
fiddle   .fIdL -w
fiddles     .fIdLz -w
fido   .f9do -w
field     .fild -w
fifferfefferfeff     .fIfR -w .fEfR -w .fEf -w
fifteen       .fIftin -w
fifteenth       .fIftinT -w
fifth          .fIfT -w
fiftieth  .fIfiET -w
fifty          .fIfti -w
fig   .fIg -w
fight     .f9t -w
fighter  .f9tR -w
fighting  .f9tIN -w
figs   .fIgz -w
figure         .fIgyR -w
figured        .fIgyRd -w
figures        .fIgyRz -w
figuring     .fIgyRIN -w
fill           .fIl -w
filled         .fIld -w
filling         .fIlIN -w
film      .fIlm -w
filthy  .fIlTi -w
fin   .fIn -w
finally        .f9nLi -w
find           .f9nd -w
finding        .f9ndIN -w
findow@n    .fIndo -w
finds  .f9ndz -w
fine           .f9n -w
finger         .fINgR -w
fingernail   .fINgRnel -w
fingernails   .fINgRnelz -w
fingerprints   .fINgRprInts -w
fingers        .fINgRz -w
finicky  .fInIki -w
finish         .fInIS -w
finished       .fInISt -w
finishing  .fInISIN -w
fins   .fInz -w
fiona    .fion6 -w
fir    .fR -w
fire           .f9R -w
firefly   .f9rfl9 -w
fireplace     .f9rples -w
fires    .f9rz -w
firmly   .fRmli -w
first          .f3st -w
fish           .fIS -w
fishbowl   .fISbol -w
fisher         .fISR -w
fishes   .fIS6z -w
fishie         .fISi -w
fishie's .fISiz -w
fishies    .fISiz -w
fishing        .fISIN -w
fist     .fIst -w
fists    .fIsts -w
fit            .fIt -w
fits    .fIts -w
fitti   .fIti -w
fitting   .fItIN -w
fittis  .fItIs -w
fitzgerald   .fItzG*6ld -w
fitzpatrick's  .fItsp&trIks -w
five           .f9v -w
fix            .fIks -w
fixable    .fIks6bL -w
fixed          .fIkst -w
fixes          .fIks6z -w
fixing        .fIksIN -w
fixit    .fIksIt -w
flag   .fl&g -w
flair          .fl* -w
flairs         .fl*z -w
flakes   .fleks -w
flamingo    .fl6mINgo -w
flap           .fl&p -w
flaps   .fl&ps -w
flash   .fl&S -w
flashcard       .fl&Sk#d -w
flashes  .fl&S6z -w
flashlight  .fl&Sl9t -w
flat           .fl&t -w
flavor     .flevR -w
flavored   .flevRd -w
flavorful    .flevRfL -w
fleas      .fliz -w
fleet   .flit -w
flew    .flu -w
flicked  .flIkt -w
flip            .flIp -w
flipflop   .flIpflap -w
flipflops   .flIpflaps -w
flipping    .flIpIN -w
flips          .flIps -w
flirting   .fl)tIN -w
float          .flot -w
floating   .flotIN -w
floats   .flots -w
floor          .fl% -w
floor's   .fl%z -w
floors         .fl%z -w
flop   .flap -w
floppy   .flapi -w
flopsy   .flapsi -w
flouncy  .flQntsi -w
flour  .flQr -w
flow   .flo -w
flower         .flQR -w
flower's   .flQRz -w
flowers        .flQRz -w
flowing    .floIN -w
flows  .floz -w
fluff           .flAf -w
fluffy         .flAfi -w
fluids         .fluIdz -w
flush   .flAS -w
flutter  .flAtR -w
flutters  .flAtRz -w
fly            .fl9 -w
flyer    .fl9R -w
flying         .fl9IN -w
flys   .fl9z -w
flyswatter  .fl9swatR -w
foam   .fom -w
focussed  .fokAst -w
fold           .fold -w
folded         .foldId -w
folding  .foldIN -w
folks   .foks -w
follow         .falo -w
followed    .falod -w
following      .falowIN -w
follows        .faloz -w
followtheleader  .falo -w .D6 -w .lidR -w
food           .fud -w
foods  .fudz -w
fool           .ful -w
fooled    .fuld -w
fooling        .fulIN -w
foot           .fUt -w
foot's         .fUts -w
football .fUtbOl -w
footie   .fUti -w
footprints   .fUtprInts -w
foots  .fUts -w
footsies  .fUtsiz -w
for            .f% -w
foraging    .f%6GIN -w
forbidden   .f%bId~ -w
forced   .f%st -w
forcing  .f%sIN -w
forehead   .f&hEd -w
forest         .f%Ist -w
forever   .f%EvR -w
forget         .fRgEt -w
forgets   .fRgEts -w
forgetting  .fRgEtIN -w
forgive   .fRgIV -w
forgot         .fRgat -w
forgotten      .fRgat~ -w
fork           .f%k -w
forks  .f%ks -w
formal         .f%mL -w
formed   .f%md -w
formula        .f%my6l6 -w
formula's  .f%my6l6z -w
formulated   .f%my6let6d -w
forsake    .f%sek -w
forth          .f%T -w
fortune     .f%cun -w
forty          .f%ti -w
forum    .f%M -w
forward   .f%w3d -w
fossil   .fasL -w
foul     .fQl -w
found          .fQnd -w
foundation   .fQndeS~ -w
fountain    .fQnt~ -w
four           .f% -w
fours    .f%z -w
fourteen   .f%tin -w
fourteen  .f%tin -w
fourteenth  .f%tinT -w
fourth    .f%T -w
fourths   .f%Ts -w
fox     .faks -w
foxes     .faks6z -w
frame   .frem -w
frank   .fr&Nk -w
frankly        .fr&Nkli -w
freak    .frik -w
freaking  .frikIN -w
fred     .frEd -w
freddy         .frEdi -w
freddy's       .frEdiz -w
free           .fri -w
freedom   .fridAm -w
freeze      .friz -w
freezer   .frizR -w
french         .frEnc -w
fresh           .frES -w
friction    .frIkc~ -w
friday         .fr9de -w
fridge    .frIG -w
fried            .fr9d -w
friend         .frEnd -w
friend's       .frEndz -w
friendly       .frEndli -w
friends        .frEndz -w
fries            .fr9z -w
frighten       .fr9t~ -w
frightened     .fr9t~d -w
frill    .frIl -w
frilly    .frIli -w
frilly's   .frIliz -w
frisbee   .frIzbi -w
frog           .frOg -w
frog's         .frOgz -w
froggie        .frOgi -w
froggie's    .frOgiz -w
frogs     .frOgz -w
from           .fr6m -w
front          .frAnt -w
fronts     .frAnts -w
frontsies    .frAntsiz -w
froot     .frut -w
frosting     .frastIN -w
frosty     .frasti -w
frown      .frQn -w
froze      .froz -w
frozen         .froz~ -w
fruit            .frut -w
fruits     .fruts -w
frustrated     .frAstret6d -w
frustrating    .frAstretIN -w
frutti     .fruti -w
fry         .fr9 -w
frying       .fr9IN -w
fufu@c    .fufu -w
full           .fUl -w
fumble    .fAmbL -w
fun            .fAn -w
function       .fANkS~z -w
functions      .fANkS~z -w
funniest    .fAniEst -w
funny          .fAni -w
fur            .f3 -w
furby     .f3bi -w
furious    .fy3i6s -w
furniture      .f3nIcR -w
furry          .f3i -w
further     .f3TR -w
fuss      .fAs -w
fussbucket     .fAsbAk6t -w
fussed     .fAst -w
fusser     .fAsR -w
fussies     .fAsiz -w
fussing     .fAsIN -w
fussings     .fAsINz -w
fusspot    .fAspat -w
fussy         .fAsi -w
futon    .futan -w
future     .fyucR -w
fuzz           .fAz -w
fuzzies     .fAziz -w
fuzzy          .fAzi -w
g@l            .Gi -w
gabby       .g&bi -w
gabby's     .g&biz -w
gaga      .gaga -w
gail           .gel -w
gail's         .gelz -w
gained     .gend -w
galleria    .g&lRi6 -w
galley     .g&li -w
galoshes   .g6laS6z -w
game           .gem -w
games          .gemz -w
gap    .g&p -w
garage         .g6raG -w
garbage     .g#b6G -w
garden         .g#d~ -w
garden's       .g#d~z -w
garland     .g#l&nd -w
garlic    .g#lIk -w
garret's    .g*Ets -w
garrett    .g*Et -w
gas           .g&s -w
gasped    .g&spt -w
gastroenteritis .g&stroEnt6r9tIs -w
gat     .g&t -w
gate             .get -w
gate's            .gets -w
gates    .gets -w
gather    .g&DR -w
gathered       .g&DRd -w
gatorade    .getRed -w
gave           .gev -w
gazing    .gezIN -w
gear            .g( -w
gears    .g(z -w
gee    .Gi -w
geese          .gis -w
gels    .GElz -w
gene   .Gin -w
general        .GEnRL -w
generally      .GEnR6li -w
generate    .GenRet -w
generations   .GenReS~z -w
generous       .GEnR6s -w
genesis     .GEn6sIs -w
genie    .Gini -w
genie's   .Giniz -w
genius    .Giny6s -w
gentle         .GEntL -w
gentleman   .GentLm~ -w
gently    .Gentli -w
george   .G%G -w
georgia   .G%Gy6 -w
gerber          .gRbR -w
gesundheit   .g6zAndh9t -w
get            .gEt -w
getieup   .gEtiAp -w
gets           .gEts -w
getting        .gEtIN -w
ghetto    .gEto -w
ghost   .gost -w
giant    .G9~t -w
gibberish   .GIb3IS -w
giddyup    .gIdiAp -w
gift    .gIft -w
gifts          .gIfts -w
gigantic   .G9g&ntIk -w
giggle   .gIgL -w
gigglegigglegoogaga  .gIgL -w .gIgL -w .gu -w .gaga -w
gigglegigglegoogoo  .gIgL -w .gIgL -w .gu -w .gu -w
gigglegigglegoogooga  .gIgL -w .gIgL -w .gu -w. gu -w .ga -w
gigglegigglegoogoogoo   .gIgL -w .gIgL -w .gu -w .gu -w .gu -w
giggles  .gIgLz -w
gigi           .GiGi -w
gigi's         .GiGiz -w
gimme        .gImi -w
gimmick  .gImIk -w
gimmicks   .gImIks -w
ginger's       .GInGRz -w
giraffe   .G6r&f -w
giraffe's   .G6r&fs -w
giraffes   .G6r&fs -w
girded   .g3d6d -w
girder   .g3dR -w
girl           .g3l -w
girl's    .g3lz -w
girla   .g3l6 -w
girlfriend   .g3lfrEnd -w
girlie          .g3li -w
girls          .g3lz -w
git    .gIt -w
give           .gIv -w
given          .gIv~ -w
giver    .gIvR -w
gives          .gIvz -w
giving         .gIvIN -w
glad           .gl&d -w
gladys    .gl&d6s -w
glass          .gl&s -w
glasses        .gl&sIz -w
globe    .glob -w
gloomy    .glumi -w
glorified    .gl%If9d -w
glorify    .gl%If9 -w
glorious    .gl%i6s -w
glory    .gl%i -w
gloss            .glOs -w
glosses          .glOs6z -w
glove   .glAv -w
gloves   .glAvz -w
glubglub   .glAb -w .glAb -w
glue   .glu -w
glued   .glud -w
glump    .glAmp -w
gnat   .n&t -w
go             .go -w
goading   .godIN -w
goal          .gol -w
goat    .got -w
goats   .gots -w
gobble   .gabL -w
god            .gad -w
god's   .gadz -w
godmother   .gadmADr -w
gods   .gadz -w
godzilla   .gadzIl6 -w
goers   .goRz -w
goes           .goz -w
goggles   .gagLz -w
going          .goIN -w
gold    .gold -w
golden         .gold~ -w
goldfish        .goldfIS -w
goldie   .goldi -w
goldilocks   .goldilaks -w
golf    .gOlf -w
golly   .gali -w
gone           .gOn -w
gonna          .g6n6 -w
gonzales        .gOnzalEz -w
good           .gUd -w
goodamus   .gUd6m6s -w
goodbye        .gUdb9 -w
goodest   .gUd6st -w
goodness       .gUdnIs -w
goodnight   .gUd -w .n9t -w
goody   .gUdi -w
goof    .guf -w
goofy   .gufi -w
goofy's   .gufiz -w
google   .gugL -w
googoo .gu -w .gu -w
googooeyed  .gugu9d -w
googoogigglegaga  .gu -w .gu -w .gIgL -w .ga -w .ga -w
googoogigglegagagiggle .gu -w .gu -w .gIgL -w .ga -w .ga -w .gIgL -w
googoogoggles   .gu -w .gu -w .gagLz -w
goopy   .gupi -w
goose          .gus -w
gooseberry  .gusb*i -w
goosie   .gusi -w
gordon    .g%d~ -w
gorgeous       .g%G6s -w
gorilla   .g6rIl6 -w
gorillas   .g6rIl6z -w
gosh   .gAS -w
got            .gat -w
gotcha       .gatc6
gots   .gats -w
gotta         .gat6 -w
gotten         .gat~ -w
gown    .gQn -w
gowns   .gQnz -w
grab           .gr&b -w
grabbed        .gr&bd -w
grabbing       .gr&bIN -w
grabs   .gr&bz -w
grace   .gres -w
gracefully   .gresfLi -w
gracious  .greS6s -w
grade  .gred -w
gradually   .gr&G6li -w
graduation .gr&GueS~ -w
graham   .gr&m -w
grain   .gren -w
gram    .gr&m -w
grammatical    .gr6m&tIkL -w
grammatically  .gr6m&tIkli -w
grammie        .gr&mi -w
grammy         .gr&mi -w
gramps         .gr&mps -w
grams   .gr&mz -w
grand   .gr&nd -w
grandad   .gr&nd&d -w
