corpus speaker algo token_f-score token_precision token_recall boundary_f-score boundary_precision boundary_recall
Demetras2 j_fat12 dmcmc 0.7494 0.686 0.8258 0.877 0.781 1
Demetras2 j_fat12 puddle 0.3419 0.5025 0.2591 0.4658 0.9301 0.3107
Demetras2 j_fat14 AGc3sf_1 0.8216 0.8053 0.8387 0.9041 0.8812 0.9283
Demetras2 j_fat14 AGc3sf_2 0.8282 0.8135 0.8434 0.9068 0.8863 0.9283
Demetras2 j_fat14 AGc3sf_3 0.8509 0.8407 0.8613 0.9199 0.9058 0.9344
Demetras2 j_fat14 AGc3sf_4 0.8297 0.8164 0.8434 0.9078 0.8893 0.9271
Demetras2 j_fat14 AGc3sf_5 0.8487 0.8355 0.8623 0.9202 0.902 0.9392
Demetras2 j_fat14 AGu_1 0.5984 0.5878 0.6094 0.7739 0.7564 0.7922
Demetras2 j_fat14 AGu_2 0.6534 0.6286 0.6802 0.8171 0.778 0.8603
Demetras2 j_fat14 AGu_3 0.6464 0.6305 0.6632 0.8172 0.7916 0.8445
Demetras2 j_fat14 AGu_4 0.649 0.6286 0.6708 0.82 0.7875 0.8554
Demetras2 j_fat14 AGu_5 0.6569 0.6409 0.6736 0.82 0.7948 0.8469
Demetras2 j_fat14 TPs 0.2859 0.4121 0.2189 0.55 0.9693 0.384
Demetras2 j_fat14 dibs 0.258 0.346 0.2057 0.4556 0.7048 0.3366
Demetras2 j_fat14 dmcmc 0.7401 0.6758 0.8179 0.8808 0.787 1
Demetras2 j_fat14 puddle 0.146 0.3027 0.09623 0.2037 0.94 0.1142
Demetras2 j_fat15 AGc3sf_1 0.8302 0.7985 0.8645 0.916 0.8729 0.9635
Demetras2 j_fat15 AGc3sf_2 0.8206 0.7909 0.8527 0.9098 0.8692 0.9544
Demetras2 j_fat15 AGc3sf_3 0.8285 0.7968 0.8627 0.9138 0.8709 0.9612
Demetras2 j_fat15 AGc3sf_4 0.8256 0.7915 0.8627 0.9142 0.8678 0.9658
Demetras2 j_fat15 AGc3sf_5 0.8104 0.7767 0.8473 0.9072 0.8608 0.959
Demetras2 j_fat15 AGu_1 0.6736 0.6422 0.7082 0.8356 0.7879 0.8894
Demetras2 j_fat15 AGu_2 0.6471 0.6242 0.6718 0.8161 0.7804 0.8552
Demetras2 j_fat15 AGu_3 0.6474 0.6239 0.6727 0.8141 0.7778 0.854
Demetras2 j_fat15 AGu_4 0.6106 0.5868 0.6364 0.7937 0.7557 0.8358
Demetras2 j_fat15 AGu_5 0.6592 0.6287 0.6927 0.8232 0.7765 0.8757
Demetras2 j_fat15 TPs 0.2418 0.3475 0.1855 0.5447 0.9286 0.3854
Demetras2 j_fat15 dibs 0.1766 0.2837 0.1282 0.3614 0.7591 0.2372
Demetras2 j_fat15 dmcmc 0.7499 0.6858 0.8273 0.8854 0.7944 1
Demetras2 j_fat15 puddle 0.2268 0.3649 0.1645 0.3565 0.7509 0.2338
Demetras2 j_fat16 AGc3sf_1 0.7601 0.7264 0.7971 0.8795 0.8317 0.9333
Demetras2 j_fat16 AGc3sf_2 0.7432 0.7127 0.7764 0.8677 0.824 0.9163
Demetras2 j_fat16 AGc3sf_3 0.7643 0.7295 0.8025 0.8824 0.8332 0.9378
Demetras2 j_fat16 AGc3sf_4 0.758 0.7278 0.7908 0.8755 0.8327 0.9231
Demetras2 j_fat16 AGc3sf_5 0.7557 0.7213 0.7935 0.8781 0.8291 0.9333
Demetras2 j_fat16 AGu_1 0.6965 0.6906 0.7024 0.8428 0.8339 0.8518
Demetras2 j_fat16 AGu_2 0.677 0.6646 0.6898 0.8309 0.8121 0.8507
Demetras2 j_fat16 AGu_3 0.7003 0.6878 0.7133 0.8436 0.8249 0.8631
Demetras2 j_fat16 AGu_4 0.6864 0.6736 0.6997 0.8393 0.8198 0.8597
Demetras2 j_fat16 AGu_5 0.6897 0.6774 0.7024 0.8358 0.8173 0.8552
Demetras2 j_fat16 TPs 0.1988 0.2925 0.1506 0.5041 0.896 0.3507
Demetras2 j_fat16 dibs 0.2512 0.3661 0.1912 0.4426 0.774 0.31
Demetras2 j_fat16 dmcmc 0.7927 0.7376 0.8566 0.9082 0.8318 1
Demetras2 j_fat16 puddle 0.2053 0.3674 0.1425 0.3085 0.8195 0.19
Demetras2 j_mot02 AGc3sf_1 0.8473 0.8116 0.8864 0.9211 0.8713 0.9771
Demetras2 j_mot02 AGc3sf_2 0.844 0.807 0.8846 0.9203 0.8685 0.9786
Demetras2 j_mot02 AGc3sf_3 0.8348 0.795 0.8788 0.9136 0.8578 0.9771
Demetras2 j_mot02 AGc3sf_4 0.8265 0.7851 0.8725 0.9103 0.8521 0.9771
Demetras2 j_mot02 AGc3sf_5 0.8343 0.7944 0.8783 0.9143 0.8585 0.9778
Demetras2 j_mot02 AGu_1 0.7447 0.73 0.76 0.8583 0.8362 0.8816
Demetras2 j_mot02 AGu_2 0.7471 0.7257 0.7699 0.8615 0.8296 0.8961
Demetras2 j_mot02 AGu_3 0.7612 0.7478 0.7751 0.8698 0.8499 0.8908
Demetras2 j_mot02 AGu_4 0.7311 0.7129 0.7501 0.8501 0.8227 0.8793
Demetras2 j_mot02 AGu_5 0.7568 0.7372 0.7774 0.8636 0.8346 0.8946
Demetras2 j_mot02 TPs 0.2538 0.3682 0.1936 0.5089 0.9328 0.3499
Demetras2 j_mot02 dibs 0.2878 0.3745 0.2336 0.453 0.6758 0.3407
Demetras2 j_mot02 dmcmc 0.7935 0.7398 0.8557 0.9065 0.829 1
Demetras2 j_mot02 puddle 0.3279 0.5123 0.2412 0.4199 0.904 0.2735
Demetras2 j_mot03 AGc3sf_1 0.7957 0.7514 0.8456 0.8871 0.8219 0.9635
Demetras2 j_mot03 AGc3sf_2 0.8292 0.7926 0.8692 0.9036 0.8507 0.9635
Demetras2 j_mot03 AGc3sf_3 0.8224 0.7828 0.8662 0.8998 0.8424 0.9656
Demetras2 j_mot03 AGc3sf_4 0.8425 0.8094 0.8783 0.9103 0.8626 0.9635
Demetras2 j_mot03 AGc3sf_5 0.8221 0.7836 0.8646 0.9006 0.8446 0.9645
Demetras2 j_mot03 AGu_1 0.7944 0.7732 0.8167 0.8794 0.8479 0.9134
Demetras2 j_mot03 AGu_2 0.7716 0.7518 0.7924 0.8636 0.8338 0.8956
Demetras2 j_mot03 AGu_3 0.7733 0.747 0.8015 0.8688 0.8292 0.9123
Demetras2 j_mot03 AGu_4 0.7723 0.756 0.7894 0.8703 0.8455 0.8967
Demetras2 j_mot03 AGu_5 0.7832 0.765 0.8023 0.8778 0.8503 0.9071
Demetras2 j_mot03 TPs 0.2826 0.3959 0.2198 0.5019 0.8954 0.3486
Demetras2 j_mot03 dibs 0.3221 0.4079 0.2662 0.4716 0.6866 0.3591
Demetras2 j_mot03 dmcmc 0.7818 0.7257 0.8471 0.8971 0.8134 1
Demetras2 j_mot03 puddle 0.3924 0.5767 0.2973 0.466 0.9283 0.3111
Demetras2 j_mot04 AGc3sf_1 0.7965 0.755 0.8428 0.8987 0.8375 0.9696
Demetras2 j_mot04 AGc3sf_2 0.7973 0.7601 0.8383 0.8999 0.8447 0.9627
Demetras2 j_mot04 AGc3sf_3 0.797 0.7559 0.8428 0.901 0.8402 0.9714
Demetras2 j_mot04 AGc3sf_4 0.7993 0.7637 0.8383 0.8996 0.8469 0.9592
Demetras2 j_mot04 AGc3sf_5 0.7994 0.7592 0.8441 0.8996 0.8404 0.9679
Demetras2 j_mot04 AGu_1 0.6943 0.6638 0.7278 0.84 0.7914 0.8951
Demetras2 j_mot04 AGu_2 0.7084 0.685 0.7335 0.8432 0.8062 0.8838
Demetras2 j_mot04 AGu_3 0.6742 0.6478 0.7029 0.8233 0.7807 0.8708
Demetras2 j_mot04 AGu_4 0.6918 0.6639 0.722 0.8367 0.7922 0.8864
Demetras2 j_mot04 AGu_5 0.7027 0.6771 0.7304 0.8382 0.7978 0.8829
Demetras2 j_mot04 TPs 0.289 0.4062 0.2243 0.5246 0.9314 0.3651
Demetras2 j_mot04 dibs 0.279 0.3417 0.2358 0.4382 0.5973 0.3461
Demetras2 j_mot04 dmcmc 0.748 0.6855 0.823 0.8802 0.786 1
Demetras2 j_mot04 puddle 0.3291 0.5164 0.2415 0.4033 0.9281 0.2576
Demetras2 j_mot07 AGc3sf_1 0.8367 0.8026 0.8738 0.9154 0.8678 0.9685
Demetras2 j_mot07 AGc3sf_2 0.8362 0.8029 0.8723 0.914 0.8675 0.9657
Demetras2 j_mot07 AGc3sf_3 0.838 0.8039 0.8752 0.9154 0.8678 0.9685
Demetras2 j_mot07 AGc3sf_4 0.8553 0.828 0.8844 0.9281 0.8901 0.9694
Demetras2 j_mot07 AGc3sf_5 0.8354 0.8009 0.873 0.9146 0.8664 0.9685
Demetras2 j_mot07 AGu_1 0.729 0.7044 0.7553 0.8574 0.8203 0.898
Demetras2 j_mot07 AGu_2 0.7485 0.7212 0.778 0.8681 0.8276 0.9128
Demetras2 j_mot07 AGu_3 0.7545 0.7293 0.7816 0.8711 0.8338 0.9119
Demetras2 j_mot07 AGu_4 0.7438 0.7184 0.7709 0.8641 0.8264 0.9054
Demetras2 j_mot07 AGu_5 0.7394 0.7158 0.7645 0.8623 0.8271 0.9007
Demetras2 j_mot07 TPs 0.2542 0.3554 0.1979 0.5369 0.9073 0.3813
Demetras2 j_mot07 dibs 0.3015 0.3595 0.2596 0.4615 0.5933 0.3776
Demetras2 j_mot07 dmcmc 0.757 0.6969 0.8284 0.8902 0.8021 1
Demetras2 j_mot07 puddle 0.337 0.528 0.2475 0.4179 0.8936 0.2727
Demetras2 j_mot08 AGc3sf_1 0.8317 0.7998 0.8663 0.9183 0.8737 0.9677
Demetras2 j_mot08 AGc3sf_2 0.803 0.7649 0.8452 0.9039 0.8499 0.9652
Demetras2 j_mot08 AGc3sf_3 0.8158 0.7818 0.8528 0.9109 0.863 0.9644
Demetras2 j_mot08 AGc3sf_4 0.8396 0.8106 0.8708 0.9218 0.8814 0.9661
Demetras2 j_mot08 AGc3sf_5 0.8322 0.8035 0.8631 0.9171 0.8769 0.9611
Demetras2 j_mot08 AGu_1 0.7535 0.726 0.7831 0.8594 0.8197 0.9031
Demetras2 j_mot08 AGu_2 0.7495 0.7165 0.7857 0.8664 0.8182 0.9205
Demetras2 j_mot08 AGu_3 0.7372 0.7057 0.7716 0.8618 0.8154 0.9139
Demetras2 j_mot08 AGu_4 0.7298 0.703 0.7588 0.8472 0.8078 0.8907
Demetras2 j_mot08 AGu_5 0.7509 0.7296 0.7735 0.8661 0.8349 0.8998
Demetras2 j_mot08 TPs 0.2582 0.3676 0.199 0.5191 0.8982 0.3651
Demetras2 j_mot08 dibs 0.2557 0.3461 0.2028 0.4194 0.6613 0.3071
Demetras2 j_mot08 dmcmc 0.743 0.6796 0.8196 0.8825 0.7897 1
Demetras2 j_mot08 puddle 0.2369 0.4234 0.1644 0.3 0.869 0.1813
Demetras2 j_mot10 AGc3sf_1 0.8203 0.7827 0.8617 0.9124 0.8599 0.9718
Demetras2 j_mot10 AGc3sf_2 0.8237 0.7922 0.8579 0.913 0.8689 0.9619
Demetras2 j_mot10 AGc3sf_3 0.8204 0.785 0.8592 0.9113 0.8618 0.9668
Demetras2 j_mot10 AGc3sf_4 0.8268 0.7963 0.8598 0.9148 0.8722 0.9619
Demetras2 j_mot10 AGc3sf_5 0.8179 0.7864 0.8521 0.9095 0.8653 0.9585
Demetras2 j_mot10 AGu_1 0.7157 0.6808 0.7543 0.8512 0.7991 0.9104
Demetras2 j_mot10 AGu_2 0.7214 0.6934 0.7518 0.8557 0.8138 0.9022
Demetras2 j_mot10 AGu_3 0.7212 0.6914 0.7537 0.8511 0.8068 0.9005
Demetras2 j_mot10 AGu_4 0.727 0.7038 0.7518 0.8554 0.8209 0.893
Demetras2 j_mot10 AGu_5 0.7158 0.6826 0.7524 0.8549 0.8051 0.9113
Demetras2 j_mot10 TPs 0.2409 0.3466 0.1846 0.5401 0.9499 0.3773
Demetras2 j_mot10 dibs 0.2572 0.3023 0.2238 0.4522 0.5661 0.3765
Demetras2 j_mot10 dmcmc 0.7706 0.7123 0.8392 0.8971 0.8133 1
Demetras2 j_mot10 puddle 0.3858 0.5354 0.3016 0.5297 0.871 0.3806
Demetras2 j_mot11 AGc3sf_1 0.7306 0.6765 0.7941 0.8743 0.7963 0.9693
Demetras2 j_mot11 AGc3sf_2 0.7645 0.7189 0.8162 0.8909 0.8265 0.9662
Demetras2 j_mot11 AGc3sf_3 0.7419 0.6912 0.8007 0.8793 0.8067 0.9662
Demetras2 j_mot11 AGc3sf_4 0.7273 0.6732 0.7908 0.8711 0.7931 0.9662
Demetras2 j_mot11 AGc3sf_5 0.7604 0.7117 0.8162 0.8907 0.8216 0.9723
Demetras2 j_mot11 AGu_1 0.6771 0.6306 0.7309 0.835 0.7658 0.918
Demetras2 j_mot11 AGu_2 0.6881 0.6456 0.7367 0.8409 0.7779 0.915
Demetras2 j_mot11 AGu_3 0.6866 0.6387 0.7424 0.8437 0.7726 0.9293
Demetras2 j_mot11 AGu_4 0.6682 0.6213 0.7227 0.8285 0.7583 0.9129
Demetras2 j_mot11 AGu_5 0.7048 0.6579 0.7588 0.8518 0.7833 0.9334
Demetras2 j_mot11 TPs 0.2243 0.3301 0.1698 0.5029 0.8906 0.3504
Demetras2 j_mot11 dibs 0.2484 0.3727 0.1862 0.3905 0.7158 0.2684
Demetras2 j_mot11 dmcmc 0.6939 0.6243 0.781 0.8645 0.7613 1
Demetras2 j_mot11 puddle 0.1737 0.3648 0.114 0.1957 0.7899 0.1117
Demetras2 j_mot12 AGc3sf_1 0.7825 0.7345 0.8372 0.9015 0.8354 0.9791
Demetras2 j_mot12 AGc3sf_2 0.7763 0.731 0.8277 0.8984 0.8355 0.9716
Demetras2 j_mot12 AGc3sf_3 0.7742 0.7287 0.8256 0.8981 0.8349 0.9716
Demetras2 j_mot12 AGc3sf_4 0.7737 0.7243 0.8304 0.8973 0.8287 0.9783
Demetras2 j_mot12 AGc3sf_5 0.7891 0.7468 0.8365 0.9039 0.8457 0.9708
Demetras2 j_mot12 AGu_1 0.7059 0.6741 0.7408 0.8535 0.8071 0.9056
Demetras2 j_mot12 AGu_2 0.6713 0.6332 0.7144 0.8308 0.7742 0.8964
Demetras2 j_mot12 AGu_3 0.6787 0.6378 0.7252 0.8351 0.7748 0.9056
Demetras2 j_mot12 AGu_4 0.6699 0.636 0.7076 0.8391 0.788 0.8972
Demetras2 j_mot12 AGu_5 0.6896 0.6545 0.7286 0.845 0.7933 0.9039
Demetras2 j_mot12 TPs 0.2227 0.3268 0.1689 0.5208 0.9031 0.3659
Demetras2 j_mot12 dibs 0.237 0.327 0.1859 0.4209 0.6595 0.3091
Demetras2 j_mot12 dmcmc 0.7363 0.6711 0.8155 0.8831 0.7906 1
Demetras2 j_mot12 puddle 0.2474 0.462 0.1689 0.3304 0.9198 0.2013
Demetras2 j_mot14 AGc3sf_1 0.8412 0.8129 0.8716 0.9194 0.8805 0.962
Demetras2 j_mot14 AGc3sf_2 0.8485 0.8208 0.8781 0.9237 0.8857 0.9651
Demetras2 j_mot14 AGc3sf_3 0.8319 0.7986 0.868 0.9133 0.8675 0.9643
Demetras2 j_mot14 AGc3sf_4 0.8375 0.8055 0.8722 0.9171 0.873 0.9658
Demetras2 j_mot14 AGc3sf_5 0.8249 0.7948 0.8574 0.9107 0.869 0.9567
Demetras2 j_mot14 AGu_1 0.7208 0.6823 0.7639 0.8583 0.8012 0.9241
Demetras2 j_mot14 AGu_2 0.7174 0.6867 0.7509 0.8546 0.8088 0.9058
Demetras2 j_mot14 AGu_3 0.7295 0.697 0.7651 0.8596 0.8117 0.9134
Demetras2 j_mot14 AGu_4 0.725 0.6914 0.7621 0.8607 0.8107 0.9172
Demetras2 j_mot14 AGu_5 0.7099 0.678 0.745 0.8526 0.8046 0.9066
Demetras2 j_mot14 TPs 0.258 0.3756 0.1964 0.5241 0.9374 0.3637
Demetras2 j_mot14 dibs 0.2606 0.3312 0.2148 0.4245 0.5989 0.3288
Demetras2 j_mot14 dmcmc 0.7543 0.6911 0.8302 0.8858 0.7949 1
Demetras2 j_mot14 puddle 0.2988 0.5137 0.2107 0.3641 0.9313 0.2263
Demetras2 j_mot15 AGc3sf_1 0.8612 0.8408 0.8825 0.9304 0.9026 0.96
Demetras2 j_mot15 AGc3sf_2 0.8527 0.8313 0.8753 0.9264 0.8969 0.9578
Demetras2 j_mot15 AGc3sf_3 0.8475 0.8321 0.8636 0.9239 0.9025 0.9464
Demetras2 j_mot15 AGc3sf_4 0.8356 0.8084 0.8647 0.9176 0.8799 0.9585
Demetras2 j_mot15 AGc3sf_5 0.8475 0.8224 0.8742 0.9227 0.8882 0.96
Demetras2 j_mot15 AGu_1 0.6663 0.6226 0.7166 0.8335 0.7659 0.9142
Demetras2 j_mot15 AGu_2 0.6597 0.6204 0.7043 0.8241 0.7631 0.8956
Demetras2 j_mot15 AGu_3 0.6874 0.6531 0.7255 0.8415 0.7891 0.9014
Demetras2 j_mot15 AGu_4 0.7039 0.6592 0.755 0.8519 0.7849 0.9314
Demetras2 j_mot15 AGu_5 0.6836 0.6445 0.7277 0.8376 0.7781 0.9071
Demetras2 j_mot15 TPs 0.2718 0.3872 0.2094 0.5322 0.9146 0.3753
Demetras2 j_mot15 dibs 0.2923 0.3612 0.2455 0.4759 0.642 0.3781
Demetras2 j_mot15 dmcmc 0.707 0.6389 0.7912 0.8673 0.7657 1
Demetras2 j_mot15 puddle 0.3536 0.5288 0.2656 0.48 0.905 0.3267
Demetras2 j_mot16 AGc3sf_1 0.8108 0.7787 0.8456 0.9084 0.8627 0.9591
Demetras2 j_mot16 AGc3sf_2 0.8103 0.7779 0.8456 0.9084 0.8622 0.9599
Demetras2 j_mot16 AGc3sf_3 0.8083 0.7751 0.8444 0.9071 0.8598 0.9599
Demetras2 j_mot16 AGc3sf_4 0.8042 0.7706 0.8408 0.9054 0.8573 0.9591
Demetras2 j_mot16 AGc3sf_5 0.8176 0.7888 0.8485 0.9111 0.8702 0.9561
Demetras2 j_mot16 AGu_1 0.743 0.7085 0.7811 0.8616 0.8109 0.919
Demetras2 j_mot16 AGu_2 0.7482 0.7161 0.7834 0.8674 0.8201 0.9206
Demetras2 j_mot16 AGu_3 0.7449 0.7134 0.7793 0.8633 0.8169 0.9152
Demetras2 j_mot16 AGu_4 0.7289 0.6959 0.7651 0.8552 0.8061 0.9106
Demetras2 j_mot16 AGu_5 0.7454 0.7105 0.784 0.866 0.8145 0.9244
Demetras2 j_mot16 TPs 0.2552 0.3662 0.1959 0.5199 0.9198 0.3624
Demetras2 j_mot16 dibs 0.269 0.3487 0.2189 0.4346 0.6392 0.3292
Demetras2 j_mot16 dmcmc 0.7696 0.7116 0.8379 0.8963 0.8121 1
Demetras2 j_mot16 puddle 0.3824 0.5704 0.2876 0.4852 0.9281 0.3285
Higginson june01 AGc3sf_1 0.791 0.7549 0.8307 0.8998 0.8486 0.9575
Higginson june01 AGc3sf_2 0.7632 0.7239 0.807 0.8855 0.8289 0.9505
Higginson june01 AGc3sf_3 0.788 0.7507 0.8291 0.9005 0.8475 0.9606
Higginson june01 AGc3sf_4 0.8157 0.7817 0.8528 0.9107 0.8632 0.9636
Higginson june01 AGc3sf_5 0.7594 0.7255 0.7967 0.8839 0.8347 0.9393
Higginson june01 AGu_1 0.6667 0.6813 0.6527 0.773 0.7949 0.7523
Higginson june01 AGu_2 0.6452 0.6579 0.6329 0.7751 0.7949 0.7563
Higginson june01 AGu_3 0.6836 0.6844 0.6828 0.7889 0.7901 0.7877
Higginson june01 AGu_4 0.6563 0.6616 0.6511 0.7671 0.775 0.7594
Higginson june01 AGu_5 0.6605 0.6761 0.6456 0.7569 0.78 0.7351
Higginson june01 TPs 0.1993 0.2896 0.1519 0.5011 0.8892 0.3488
Higginson june01 dibs 0.3008 0.3831 0.2476 0.482 0.6808 0.3731
Higginson june01 dmcmc 0.7324 0.6656 0.8141 0.8752 0.7781 1
Higginson june01 puddle 0.2699 0.4817 0.1875 0.3499 0.9724 0.2133
Higginson june02 AGc3sf_1 0.7169 0.6683 0.7733 0.8557 0.781 0.9462
Higginson june02 AGc3sf_2 0.7261 0.675 0.7857 0.863 0.785 0.9583
Higginson june02 AGc3sf_3 0.7474 0.6995 0.8022 0.8662 0.7947 0.9518
Higginson june02 AGc3sf_4 0.7112 0.6598 0.7712 0.8538 0.7748 0.9508
Higginson june02 AGc3sf_5 0.7044 0.6483 0.7712 0.8482 0.762 0.9564
Higginson june02 AGu_1 0.6821 0.6725 0.6919 0.7916 0.7768 0.8071
Higginson june02 AGu_2 0.6578 0.6646 0.6513 0.7701 0.7807 0.7597
Higginson june02 AGu_3 0.6326 0.6432 0.6223 0.7444 0.7614 0.7282
Higginson june02 AGu_4 0.6674 0.6648 0.6699 0.7854 0.7815 0.7894
Higginson june02 AGu_5 0.6548 0.6488 0.6609 0.7742 0.7647 0.7839
Higginson june02 TPs 0.3014 0.4158 0.2364 0.5386 0.9115 0.3822
Higginson june02 dibs 0.3261 0.4006 0.275 0.4738 0.6469 0.3738
Higginson june02 dmcmc 0.6642 0.5919 0.7567 0.8423 0.7276 1
Higginson june02 puddle 0.3774 0.5653 0.2833 0.4385 0.887 0.2913
Higginson june07 AGc3sf_1 0.8218 0.7927 0.8531 0.9072 0.8655 0.953
Higginson june07 AGc3sf_2 0.8103 0.7766 0.8471 0.9043 0.8556 0.9588
Higginson june07 AGc3sf_3 0.8211 0.7896 0.8553 0.9093 0.864 0.9595
Higginson june07 AGc3sf_4 0.8095 0.7759 0.846 0.9039 0.8555 0.9581
Higginson june07 AGc3sf_5 0.8133 0.782 0.8471 0.9024 0.8575 0.9523
Higginson june07 AGu_1 0.7261 0.7466 0.7067 0.8135 0.8445 0.7847
Higginson june07 AGu_2 0.7327 0.7376 0.728 0.8251 0.8324 0.8179
Higginson june07 AGu_3 0.7181 0.735 0.7018 0.8156 0.8417 0.7912
Higginson june07 AGu_4 0.7326 0.7598 0.7073 0.8164 0.8576 0.7789
Higginson june07 AGu_5 0.7703 0.782 0.759 0.8497 0.8669 0.8331
Higginson june07 TPs 0.2557 0.3661 0.1964 0.4937 0.8891 0.3418
Higginson june07 dibs 0.3339 0.4335 0.2715 0.4911 0.7331 0.3692
Higginson june07 dmcmc 0.746 0.6839 0.8205 0.883 0.7905 1
Higginson june07 puddle 0.3774 0.55 0.2873 0.4646 0.8676 0.3172
Higginson june08 AGc3sf_1 0.7503 0.6998 0.8087 0.8763 0.8001 0.9685
Higginson june08 AGc3sf_2 0.7262 0.6673 0.7965 0.862 0.7726 0.9748
Higginson june08 AGc3sf_3 0.7277 0.6694 0.7971 0.8628 0.7744 0.974
Higginson june08 AGc3sf_4 0.7515 0.7001 0.8111 0.8776 0.8001 0.9716
Higginson june08 AGc3sf_5 0.7615 0.71 0.821 0.8831 0.8061 0.9764
Higginson june08 AGu_1 0.6767 0.6689 0.6845 0.7983 0.7861 0.8109
Higginson june08 AGu_2 0.7074 0.7158 0.6991 0.8255 0.8389 0.8125
Higginson june08 AGu_3 0.7271 0.7158 0.7388 0.8423 0.8248 0.8605
Higginson june08 AGu_4 0.739 0.7264 0.7522 0.8511 0.8316 0.8716
Higginson june08 AGu_5 0.6742 0.6669 0.6816 0.8012 0.7896 0.8132
Higginson june08 TPs 0.2566 0.3596 0.1994 0.5141 0.903 0.3593
Higginson june08 dibs 0.347 0.4235 0.2939 0.5176 0.7003 0.4106
Higginson june08 dmcmc 0.7093 0.6401 0.7953 0.8592 0.7531 1
Higginson june08 puddle 0.3155 0.4574 0.2408 0.4171 0.7877 0.2837
Higginson june09 AGc3sf_1 0.7693 0.7245 0.8199 0.8886 0.823 0.9655
Higginson june09 AGc3sf_2 0.759 0.7144 0.8095 0.8848 0.8188 0.9622
Higginson june09 AGc3sf_3 0.7761 0.7333 0.8243 0.8926 0.8299 0.9655
Higginson june09 AGc3sf_4 0.7596 0.7116 0.8144 0.8859 0.8151 0.9701
Higginson june09 AGc3sf_5 0.7736 0.7302 0.8224 0.8915 0.828 0.9655
Higginson june09 AGu_1 0.736 0.7327 0.7392 0.8421 0.8372 0.847
Higginson june09 AGu_2 0.7319 0.7186 0.7457 0.8443 0.8244 0.8652
Higginson june09 AGu_3 0.7717 0.7618 0.7818 0.8678 0.8534 0.8828
Higginson june09 AGu_4 0.7424 0.7349 0.7501 0.8529 0.8416 0.8646
Higginson june09 AGu_5 0.7698 0.7614 0.7783 0.8681 0.8558 0.8809
Higginson june09 TPs 0.2786 0.3947 0.2152 0.536 0.9352 0.3757
Higginson june09 dibs 0.2534 0.3429 0.2009 0.4197 0.671 0.3053
Higginson june09 dmcmc 0.7456 0.6836 0.8199 0.884 0.7922 1
Higginson june09 puddle 0.4101 0.575 0.3187 0.5325 0.9102 0.3763
Higginson june13 AGc3sf_1 0.8854 0.8567 0.9161 0.9437 0.9018 0.9897
Higginson june13 AGc3sf_2 0.8684 0.8357 0.9038 0.936 0.8879 0.9897
Higginson june13 AGc3sf_3 0.8854 0.8567 0.9161 0.9437 0.9018 0.9897
Higginson june13 AGc3sf_4 0.8831 0.8539 0.9144 0.9427 0.8999 0.9897
Higginson june13 AGc3sf_5 0.8869 0.8588 0.9169 0.9447 0.9037 0.9897
Higginson june13 AGu_1 0.8104 0.8091 0.8117 0.8913 0.8893 0.8933
Higginson june13 AGu_2 0.7923 0.7998 0.7848 0.8623 0.874 0.8509
Higginson june13 AGu_3 0.6888 0.7125 0.6667 0.7856 0.8247 0.75
Higginson june13 AGu_4 0.7763 0.7956 0.7579 0.8517 0.8821 0.8234
Higginson june13 AGu_5 0.7703 0.7976 0.7449 0.8515 0.8951 0.8119
Higginson june13 TPs 0.2742 0.3855 0.2127 0.5075 0.941 0.3475
Higginson june13 dibs 0.3195 0.4319 0.2535 0.4527 0.7671 0.3211
Higginson june13 dmcmc 0.8006 0.7496 0.859 0.9069 0.8297 1
Higginson june13 puddle 0.3811 0.5464 0.2926 0.506 0.9834 0.3406
Higginson june14 AGc3sf_1 0.788 0.7461 0.835 0.8955 0.8326 0.9686
Higginson june14 AGc3sf_2 0.8078 0.7783 0.8396 0.9001 0.8563 0.9487
Higginson june14 AGc3sf_3 0.8093 0.7811 0.8396 0.9004 0.8585 0.9466
Higginson june14 AGc3sf_4 0.8156 0.7856 0.848 0.9017 0.8574 0.9508
Higginson june14 AGc3sf_5 0.8003 0.769 0.8342 0.8976 0.8508 0.9497
Higginson june14 AGu_1 0.6949 0.6879 0.7021 0.8105 0.7994 0.822
Higginson june14 AGu_2 0.6809 0.6897 0.6723 0.7853 0.7993 0.7717
Higginson june14 AGu_3 0.6856 0.6899 0.6814 0.7909 0.7977 0.7843
Higginson june14 AGu_4 0.7833 0.7922 0.7746 0.8527 0.8661 0.8398
Higginson june14 AGu_5 0.6739 0.6876 0.6608 0.7811 0.8031 0.7602
Higginson june14 TPs 0.3264 0.4414 0.259 0.5756 0.9517 0.4126
Higginson june14 dibs 0.2171 0.2945 0.1719 0.3385 0.5634 0.2419
Higginson june14 dmcmc 0.731 0.6698 0.8044 0.879 0.7841 1
Higginson june14 puddle 0.2754 0.4837 0.1925 0.2941 0.988 0.1728
Kuczaj abe001 AGc3sf_1 0.7876 0.7539 0.8245 0.9074 0.8639 0.9556
Kuczaj abe001 AGc3sf_2 0.7767 0.7396 0.8177 0.9016 0.8534 0.9556
Kuczaj abe001 AGc3sf_3 0.7825 0.7473 0.8211 0.9068 0.8611 0.9575
Kuczaj abe001 AGc3sf_4 0.7863 0.7543 0.8211 0.9044 0.8632 0.9498
Kuczaj abe001 AGc3sf_5 0.7841 0.7488 0.8228 0.9068 0.8611 0.9575
