D^blaks : D^blaks ;aword 
Siw^ntIdtuwElSiw^ntIdtu^ndrEshIm@ndSizIpt : Si ;aword w^ntId ;aword tu ;aword wEl ;aword Si ;aword w^ntId ;aword tu^ndrEshIm ;aword @nd ;aword SizIpt ;aword 
@tw^npOntSikcldD^dclmarko@ndyusEdoIz : @tw^npOnt ;aword Si ;aword kcldD^dclmarko@ndyusEd ;aword o ;aword Iz ;aword 
d^zSinemhRdclz : d^zSinemhRdclz ;aword 
yEs : yEs ;aword 
Deh@vs^mnemz : Deh@vs^mnemz ;aword 
s^m^vDEmh@vnemz : s^m^vDEmh@vnemz ;aword 
w^nIzdcli : w^nIzdcli ;aword 
D@tsD^dclznemdcliYfIgyRd@ndw^nIz : D@ts ;aword D^dclznemdcliYfIgyRd ;aword @nd ;aword w^nIz ;aword 
bxkczItsr@gIdi@n : bxkczItsr@gIdi@n ;aword 
@ndDEnyutcktxbWtgoIGtuD^daktR@ndSisEd : @nd ;aword DEn ;aword yu ;aword tcktxbWtgoIG ;aword tu ;aword D^daktR@nd ;aword SisEd ;aword 
IzhigoIGtufIksmYT^m : Iz ;aword higoIGtufIksmYT^m ;aword 
Sih@deT^mapxreSxn : Si ;aword h@deT^mapxreSxn ;aword 
Siw^ntIdtunoIfhiw^zgoIGtufIkspitRzT^m : Si ;aword w^ntId ;aword tu ;aword noIf ;aword hiw^zgoIGtufIkspitRzT^m ;aword 
nWSiTIGksD@tEvriw^nhugoztuD^daktRSih@d@n : nWSiTIGks ;aword D@t ;aword Evriw^nhugoz ;aword tu ;aword D^daktRSi ;aword h@d ;aword @n ;aword 
nWSiTIGksD@tEvriw^nhuzgoIGtuD^daktRIzgoIGtu : nWSiTIGks ;aword D@t ;aword Evriw^nhuzgoIG ;aword tu ;aword D^daktRIzgoIG ;aword tu ;aword 
Sim^stTIGkpipxlh@vstrenJT^mz : Sim^stTIGkpipxlh@vstrenJT^mz ;aword 
Siw^zIntvEriIntxrEstIdInD^bUk : Si ;aword w^zIntvEri ;aword In ;aword txrEstId ;aword In ;aword D^bUk ;aword 
yRSiw^zInt : yR ;aword Si ;aword w^zInt ;aword 
YmsRprYzd : YmsRprYzd ;aword 
YYTIGkSiznatpeIGm^CxtEnSIntxde : YYTIGk ;aword Siz ;aword natpeIGm^CxtEnSIntxde ;aword 
b^tYmnatgoIGtumekIkskyusIzs^mtYmzSid^z@nd : b^tYmnatgoIG ;aword tu ;aword mekIksk ;aword yus ;aword Iz ;aword s^mtYmzSid^z ;aword @nd ;aword 
SiznatsupRSid^zxntsIt@ndlIsIntubUks@zm^C : Siz ;aword natsupR ;aword Sid^z ;aword xntsIt@ndlIs ;aword In ;aword tubUks@zm^C ;aword 
D^onliTIGSipOntIdWtspantenixsYTIGkw^zD^ : D^onliTIGSipOntIdWtspantenixsYTIGkw^zD^ ;aword 
yuminmY@skIG : yuminmY@skIG ;aword 
w^tIzD@t : w^tIz ;aword D@t ;aword 
w^tw^zD^dIsk^SInxbWts^mTIGsItIGanD^tRtxl : w^tw^zD^dIsk^SInxbWt ;aword s^mTIG ;aword sItIGanD^tRtxl ;aword 
SUr : SUr ;aword 
SiwEnttuD^dEntIstek^pxl^vwiksxgowID^s@ndyu : Si ;aword wEnt ;aword tu ;aword D^dEntIstek^pxl^vwiksxgowID^s ;aword @nd ;aword yu ;aword 
ItskYnd^vlYkesImbiatIkrIleSxnSIp : ItskYnd^vlYk ;aword e ;aword sImbiatIkrIleSxnSIp ;aword 
wih@vebUkkcldkrakxdYltErzwICSizclwezEnJOd : wih@v ;aword ebUkkcldkrakxdYltErzwICSizclwezEnJOd ;aword 
ItdIdxntkr@khR^p : It ;aword dIdxntkr@khR^p ;aword 
b^tItkr@ktmi^pbxkczItlUktlYklUktlYkyu : b^tItkr@ktmi^pbxkcz ;aword It ;aword lUktlYklUktlYk ;aword yu ;aword 
^vkorsD^tRtxld^zxnth@vEnitiT : ^vkorsD^tRtxld^zxnth@vEnitiT ;aword 
yEsclD^tYm : yEsclD^tYm ;aword 
wElSizJ^stSizIntubUksInturEdIGelat : wEl ;aword Siz ;aword J^stSiz ;aword In ;aword tubUks ;aword In ;aword turEdIG ;aword elat ;aword 
sow^tduYduwEnYgoTruD^bUks@ndwivrEdTru : sow^tduYduwEnYgoTru ;aword D^bUks ;aword @nd ;aword wivrEdTru ;aword 
SizvErifxmIlyR : SizvErifxmIlyR ;aword 
SiwIl@kCuxlipOnt : Si ;aword wIl@kCuxlipOnt ;aword 
^YstartIdItWtJ^st@skIGhRwerIzD^bRdwerIz : ^YstartId ;aword ItWt ;aword J^st@skIGhRwer ;aword Iz ;aword D^bRdwerIz ;aword 
@ndSilpOntWt@tDEm@ndnWSiwIl@kCuxlise@nd : @nd ;aword SilpOntWt@t ;aword DEm ;aword @nd ;aword nWSiwIl@kCuxlise ;aword @nd ;aword 
ItsclwcltdIznik@rxktRz@ndwcltdIznibUks@nd : Its ;aword clwcltdIznik@rxktRz@ndwcltdIznibUks ;aword @nd ;aword 
soItsD@tsbesIkliw^twivbIngoIGTru@nd : soItsD@tsbesIkliw^twivbIngoIGTru ;aword @nd ;aword 
Sil^vzk^lRzSinozgrin@ndblu : Sil^vzk^lRz ;aword Si ;aword nozgrin@ndblu ;aword 
yunoblu : yu ;aword noblu ;aword 
yanow^tk^lRzyElo : yanow^tk^lRzyEl ;aword o ;aword 
k@nyufYndmis^mTIGyElo : k@n ;aword yufYndmi ;aword s^mTIG ;aword yEl ;aword o ;aword 
Sik@nseyElo : Si ;aword k@ns ;aword e ;aword yEl ;aword o ;aword 
@ndlaliIzyElo : @ndlali ;aword Iz ;aword yEl ;aword o ;aword 
rEdSik@nseb^tSisEzewirdwRd : rEd ;aword Si ;aword k@ns ;aword e ;aword b^tSisEz ;aword e ;aword wirdwRd ;aword 
sWndzs^mTIGlYkS@bifcrrEdYmnatSUrwY : sWndzs^mTIGlYkS@bif ;aword cr ;aword rEd ;aword YmnatSUrwY ;aword 
yRrYtYTIGkIth@zs^mTIGtuduwIDstrcbEriz : yR ;aword rYt ;aword YTIGk ;aword It ;aword h@z ;aword s^mTIG ;aword tu ;aword du ;aword wID ;aword strcbEriz ;aword 
b^tpIGkSizrixligUdwIDpIGk@ndgrin : b^tpIGk ;aword Siz ;aword rixligUdwIDpIGk@ndgrin ;aword 
DearpRfIktligUdSik@n : DearpRfIktligUdSi ;aword k@n ;aword 
yEsbl@k : yEsbl@k ;aword 
wW : wW ;aword 
Sih@zs^mscftw^nzD@twirixlidontplewID : Si ;aword h@z ;aword s^mscftw^nzD@twirixlidontple ;aword wID ;aword 
DearfoldId : DearfoldId ;aword 
YTIGkyuscDEmDearkYnd^vmed^vkatxn : YTIGk ;aword yuscDEmDearkYnd^vmed^vkatxn ;aword 
DearrixlinYsmxtIrixl : DearrixlinYsmxtIrixl ;aword 
Deh@vwIniD^puwIDDEm@ndmIkimWs@nddanxldd^k : Deh@vwIniD^puwID ;aword DEm ;aword @ndmIkimWs@nddanxldd^k ;aword 
yEsyulYkst@kIGDizdont : yEs ;aword yu ;aword lYkst@kIGDizdont ;aword 
arDeclDer : arDeclDer ;aword 
SUr : SUr ;aword 
Sik@nTroDEmDeargret : Si ;aword k@nTroDEmDeargret ;aword 
Sik@nst@kDEm@ndnakDEmovR@ndDedonthRtEniTIG : Si ;aword k@n ;aword st@kDEm ;aword @ndnakDEmovR ;aword @nd ;aword DedonthRtEniTIG ;aword 
Sih@zD^lItxlrWndpl@stIk@ndlItxlskwerpl@stIk : Si ;aword h@z ;aword D^lItxlrWndpl@stIk@ndlItxlskwerpl@stIk ;aword 
@ndDearrixli : @nd ;aword Dearrixli ;aword 
D@tswerwirixligatIntuk^lRzbxkczDears^C : D@ts ;aword werwi ;aword rixligat ;aword In ;aword tuk^lRzbxkczDears^C ;aword 
@ndSizstartIGst@kIGDoz^pD^lItxlTIGzxrWnd : @nd ;aword Siz ;aword startIGst@kIGDoz^pD^lItxlTIGzxrWnd ;aword 
@ndEvritYmYwckIntuerumYsixn^DR : @nd ;aword EvritYmYwck ;aword In ;aword tuerumYsixn^DR ;aword 
rYtwih@vek@t@ndedcgsoSizfxmIlyRwIDboT : rYt ;aword wih@v ;aword e ;aword k@t@ndedcgsoSizfxmIlyRwIDboT ;aword 
SifidzD^dcgclD^tYm : SifidzD^dcgclD^tYm ;aword 
fr^mhRCerwEnSizitIG : fr^mhRCerwEnSizitIG ;aword 
@ndSizgEtIGIntukomIGEvriTIG : @nd ;aword SizgEtIG ;aword In ;aword tukomIGEvriTIG ;aword 
wihYdhRbr^S@ndEvriTIGInD^krIb@nde : wihYdhRbr^S@ndEvriTIG ;aword In ;aword D^krIb@nd ;aword e ;aword 
nowikclSikclzskubinW : no ;aword wi ;aword kcl ;aword Si ;aword kclzskubinW ;aword 
SistartIdkclIGhIm : Si ;aword startIdkclIGhIm ;aword 
yEsrYtD@tsskubi : yEs ;aword rYt ;aword D@tsskubi ;aword 
@ndg^sIzg^sobiIzxn^DRk@t : @ndg^sIzg^sobi ;aword Iz ;aword xn^DRk@t ;aword 
SiobizWRgr@ndmazk@t : SiobizWRgr@ndmazk@t ;aword 
D@tsgr@ma : D@tsgr@ma ;aword 
Izgr@ma : Izgr@ma ;aword 
strenJ : strenJ ;aword 
noItsprabxbliJ^st : no ;aword Its ;aword prabxbliJ^st ;aword 
yustartp^tIGD^YianItbxkczItbxgInztubi@n : yu ;aword startp^tIGD^Yian ;aword It ;aword bxkczItbxgInztubi ;aword @n ;aword 
soD@tshWYstartIdduIGIt : soD@tshWYstartIdduIG ;aword It ;aword 
Sidcg : Sidcg ;aword 
p^piz@nddcgz@ndSistartIdkclIGDEmwuwu : p^piz@nddcgz ;aword @nd ;aword Si ;aword startIdkclIGDEmwuwu ;aword 
ItstErxbxlyupIk^pD^kIdzl@GgwIJ : It ;aword stErxbxlyupIk^pD^kIdzl@GgwIJ ;aword 
no : no ;aword 
nat@tcl : nat@tcl ;aword 
Sih@znoYdixw^tedr@gxnIz : Si ;aword h@z ;aword no ;aword Ydixw^tedr@gxn ;aword Iz ;aword 
o : o ;aword 
bxkczItw^zedr@gxn : bxkczIt ;aword w^zedr@gxn ;aword 
duyanoweryUrnozIz : du ;aword yanoweryUrnoz ;aword Iz ;aword 
So^syUrnoz : So^syUrnoz ;aword 
So^syUrnozsIndi : So^syUrnoz ;aword sIndi ;aword 
bismart : bismart ;aword 
SizxwEr^vhRnoz@ndhRnizhRtoz : SizxwEr^vhRnoz ;aword @nd ;aword hRnizhRtoz ;aword 
wistartIdduIGwiarduIGD^hokipoki@t : wi ;aword startIdduIG ;aword wi ;aword arduIGD^hokipoki@t ;aword 
SisEzpUtyUrh@ndanyUrhEdpUtyUrh@ndzanyUrher : SisEz ;aword pUtyUrh@ndanyUrhEdpUtyUrh@ndzanyUrher ;aword 
SilSinozher@ndh@t@ndh@nd@ndirz : Sil ;aword Si ;aword nozher@ndh@t ;aword @nd ;aword h@nd@ndirz ;aword 
yRSinuDoz : yR ;aword SinuDoz ;aword 
Yh@vxntyuzdDozfcrewYl : Yh@vxntyuzdDozfcrewYl ;aword 
YstaptduIGD@t : YstaptduIG ;aword D@t ;aword 
DozarD^TIGzYh@dd^nek^pxl^vm^nTsxgowID : DozarD^TIGzYh@dd^nek^pxl^vm^nTsxgo ;aword wID ;aword 
ItsoketuduItwIDhRSi@sktyutu : It ;aword soketu ;aword du ;aword It ;aword wIDhR ;aword Si@sktyu ;aword tu ;aword 
Sih@zhRonlItxlfon@ndclSisEzIzhY@ndbY : Si ;aword h@z ;aword hRonlItxlf ;aword o ;aword n@ndcl ;aword SisEz ;aword IzhY@ndbY ;aword 
wEnwikcl^ps^mw^nSilpIkhRfon^pwYlwiaran : wEn ;aword wi ;aword kcl ;aword ^ps^mw^nSilpIkhRfon^pwYlwiaran ;aword 
hY@ndbYIzIt : hY@ndbY ;aword Iz ;aword It ;aword 
nonatrixli : no ;aword natrixli ;aword 
SiztckttuhImanD^fon@kCuxliwEnhizInnuycrk : Siz ;aword tckttuhImanD^f ;aword o ;aword n@kCuxli ;aword wEn ;aword hizInnuycrk ;aword 
@ndSiwElSid^zxnttcktuhIm : @nd ;aword Si ;aword wEl ;aword Sid^z ;aword xnttcktuhIm ;aword 
SiJ^stlIsxnz@ndSinuItw^zhIm : Si ;aword J^stlIsxnz ;aword @nd ;aword Sinu ;aword It ;aword w^zhIm ;aword 
@ndSiwUdse : @nd ;aword Si ;aword wUdse ;aword 
d@did@di : d@did@di ;aword 
@ftRwRdz@ndpOnt@tD^fon@nd : @ftR ;aword wRdz ;aword @ndpOnt@tD^f ;aword o ;aword n@nd ;aword 
d@dizduIGteprIkcrdIGznWtu@ndSiwivgathIman : d@dizduIGteprIk ;aword cr ;aword dIGznW ;aword tu ;aword @nd ;aword Si ;aword wivgathIman ;aword 
d@did@di : d@did@di ;aword 
soD@tSimeksclDizgUdkxnEkSxnz : soD@t ;aword Si ;aword meksclDizgUdkxnEkSxnz ;aword 
soYmSUrSinuItw^zhIzvOsanD^fon@ndSiz : soYmSUr ;aword Sinu ;aword It ;aword w^zhIzvOsanD^f ;aword o ;aword n@nd ;aword Siz ;aword 
Sid^zxntseEniTIGtuhImEksEptbYmebi@tD^End^vIt : Sid^z ;aword xntseEniTIGtuhImEksEptbY ;aword mebi ;aword @tD^End^v ;aword It ;aword 
k@ts@nddcgz@ndmYs : k@ts@nddcgz@ndmYs ;aword 
d^ks : d^ks ;aword 
bRdz : bRdz ;aword 
Elxfxnts : Elxfxnts ;aword 
d^mbooyEs : d^mbooyEs ;aword 
wih@velItxlsIlEkSxnDizlItxlpl@stIkpIgz@ndkWz : wih@v ;aword elItxlsIlEkSxnDizlItxlpl@stIkpIgz@ndkWz ;aword 
Sik@nsemufcrkWYh@vtutekhRtudr^mxnd : Si ;aword k@nsemufcrkWYh@v ;aword tu ;aword tekhRtudr^mxnd ;aword 
fcrD@tscrt^vTIG : fcrD@tscrt^vTIG ;aword 
pitRm@JIkbxkczhih@zclDizlItxlm@JIkTIGzanhIm : pitRm@JIkbxkczhih@zclDizlItxlm@JIkTIGzanhIm ;aword 
soYkcldhImpitR : soYkcldhImpitR ;aword 
SikUdxntYD^lesIz : SikUdxntYD^les ;aword Iz ;aword 
YSid^zxnttekEniyunoIntxrIstIn^ntYIG : YSid^zxnttekEni ;aword yu ;aword no ;aword In ;aword txrIstIn^ntYIG ;aword 
yRSid^zxntduD@tSih@zezIpRanelItxlkes : yR ;aword Sid^z ;aword xntdu ;aword D@t ;aword Si ;aword h@zezIpRanelItxlkes ;aword 
Sirixlih@znodIzYrtuopxnIt : Si ;aword rixli ;aword h@z ;aword no ;aword dIzYrtuopxn ;aword It ;aword 
noiDRw^n : noiDRw^n ;aword 
yR : yR ;aword 
Sid^z : Sid^z ;aword 
SinozD^dIfrInsbxtwinlItxlbOz@ndlItxlgRlz : Sinoz ;aword D^dIfrInsbxtwinlItxlbOz@ndlItxlgRlz ;aword 
bxkczSistartsseIGbebixbWtEvribadi : bxkczSi ;aword startsseIGbebixbWtEvribadi ;aword 
YDerwRD^kIdzhuwR@tD^eJwerDermamiz : YDerwRD^kIdzhuwR@tD^eJwerDermamiz ;aword 
soYstartIdseIG : soYstartIdseIG ;aword 
lItxlbOlItxlgRl : lItxlbOlItxlgRl ;aword 
yEs : yEs ;aword 
wih@vD^tulIpsgroIGWtsYd@ndSihElptmipIkw^nD^ : wih@v ;aword D^tulIpsgroIGWtsYd ;aword @nd ;aword Si ;aword hElptmipIkw^nD^ ;aword 
D^d@fxdIlzJ^stkemWt@ndD^rozIzarstartIGtugro : D^d@fxdIlzJ^stkemWt ;aword @nd ;aword D^rozIzarstartIGtugro ;aword 
ItsD^bUSSik@ntt^C : Its ;aword D^bUSSik@ntt^C ;aword 
sol^kIliwilIvxrWndDozTIGz : sol^kIli ;aword wi ;aword lIvxrWndDozTIGz ;aword 
@ndroz@ndtulIpItseyRYTIGkYTIGkSi : @ndroz ;aword @nd ;aword tu ;aword lIpIts ;aword e ;aword yR ;aword YTIGk ;aword YTIGk ;aword Si ;aword 
YYrixlidu : YYrixli ;aword du ;aword 
ItseprItibrYtgrinfon : Its ;aword e ;aword prItibrYtgrinfon ;aword 
lYxnInD^keJInD^d^mbobUkb^tItsn^TIGD@t : lYxnInD^keJ ;aword In ;aword D^d^mbobUkb^t ;aword It ;aword sn^TIG ;aword D@t ;aword 
SiyusIzflErpEnz@nd : Si ;aword yus ;aword IzflErpEnz ;aword @nd ;aword 
Sik@ndrcsRkxlznW : Si ;aword k@ndrcsRkxlznW ;aword 
ItsrixligretYk@ntbxlivIt : Its ;aword rixligretYk@ntbxlivIt ;aword 
SizdrcIGclovREvriTIGDo : SizdrcIGclovREvriTIGDo ;aword 
noYh@dYgevhRkreanzb^tSiitsDEmso : no ;aword Yh@dYgevhRkreanzb^tSiitsDEmso ;aword 
@ndItwRksWtm^CbEtR : @nd ;aword It ;aword wRksWtm^CbEtR ;aword 
yRwIDD^flErz@ndwIDD^IGkpEnz@ndpEnsxlzSil : yR ;aword wID ;aword D^flErz ;aword @nd ;aword wID ;aword D^IGkpEnz@ndpEnsxlz ;aword Sil ;aword 
Yh@vxntgIvxnhRD^kreanzletlimebiYSUdtrY : Yh@vxntgIvxnhRD^kreanzletli ;aword mebi ;aword YSUdtrY ;aword 
b^tSil^vztudrc : b^tSil^vztudrc ;aword 
wivgatlats^vk^lRzD@tSinoz : wivgatlats^vk^lRz ;aword D@t ;aword Sinoz ;aword 
SinozclhRk^lRz : SinozclhRk^lRz ;aword 
yEs : yEs ;aword 
J^stJ^stlYkwidIdbxforb^tnWInstEd^vh@vIGtu : J^stJ^stlYkwidIdbxforb^tnW ;aword In ;aword stEd^vh@vIG ;aword tu ;aword 
Itsgret : Itsgret ;aword 
simztuk^mTru : simztuk^mTru ;aword 
w^twRD^fRstk^lRzSilRnd : w^twRD^fRstk^lRzSilRnd ;aword 
pIGk : pIGk ;aword 
@ndgrinwRD^vErifRstk^lRz@ndcrInJsimdtuk^m : @ndgrinwRD^vErifRstk^lRz ;aword @nd ;aword cr ;aword InJsimdtuk^m ;aword 
rEdw^zD^hardIst : rEd ;aword w^zD^hardIst ;aword 
b^trEdSik@nsenW : b^trEd ;aword Si ;aword k@nsenW ;aword 
YTIGkSiJ^sth@ddIfIk^ltiseIGIt : YTIGk ;aword Si ;aword J^sth@ddIfIk^ltiseIG ;aword It ;aword 
@ndwYtdIdxntsimtubiD@thardtu^ndRst@nd@ndbl@k : @ndwYt ;aword dIdxnt ;aword simtubiD@thardtu^ndRst ;aword @nd ;aword @ndbl@k ;aword 
n^TIGIzbl@kwEnyu@skfcrk^lRzyuZuxli : n^TIGIzbl@k ;aword wEn ;aword yu@skfcrk^lRz ;aword yuZuxli ;aword 
D^onliTIGzSiw^ntIdtuduwIDD^pitRm@JIkdclwR : D^onliTIGz ;aword Si ;aword w^ntId ;aword tu ;aword du ;aword wIDD^ ;aword pitRm@JIkdclwR ;aword 
SizIpsb@gz^p@nddWnSih@zhRlItxlb@gz : SizIpsb@gz^p ;aword @nd ;aword dWnSi ;aword h@z ;aword hRlItxlb@gz ;aword 
J^stesEkYlgIvIttuya : J^stesEkYlgIv ;aword It ;aword tuya ;aword 
Deryagogreps : Deryagogreps ;aword 
nWyuk@ngoplewIDD^bUksoke : nWyu ;aword k@n ;aword go ;aword plewIDD^bUksoke ;aword 
golUkTruDozbUks : go ;aword lUkTruDozbUks ;aword 
Dearnu : Dearnu ;aword 
wih@vxntsinDozbUksbxfor : wih@v ;aword xntsinDozbUksbxfor ;aword 
wih@vet^n^vbUks@thom@ndSik@ntElmiEgz@ktli : wi ;aword h@vet^n^vbUks@thom ;aword @nd ;aword Si ;aword k@ntElmiEgz@ktli ;aword 
h@ndh@nd : h@ndh@nd ;aword 
D@tshRfevxrIt : D@ts ;aword hRfevxrIt ;aword 
d^zSih@vEni^vDizbUks@thom : d^zSi ;aword h@vEni^vDizbUks@thom ;aword 
nonon^n^vDiz : nono ;aword n^n^vDiz ;aword 
InD^@lfxbEtbUkDerwRs^mwRdzInDerD@twR : In ;aword D^@lfxbEtbUkDerwRs^m ;aword wRdz ;aword In ;aword DerD@twR ;aword 
duyuh@vesEnsD@tDerwRs^mwRdzSikUdrixli : du ;aword yu ;aword h@vesEns ;aword D@t ;aword DerwRs^mwRdzSikUdrixli ;aword 
yRD@tbUkEspESxli : yR ;aword D@tbUkEspESxli ;aword 
wih@vedaktRsusIzebisibUk@ndDeDeyaJ^st : wi ;aword h@vedaktRsus ;aword Iz ;aword e ;aword bisibUk@ndDeDeyaJ^st ;aword 
DIsItselItxlovRD^hEdzYTIGk : DIs ;aword Its ;aword e ;aword lItxlovRD^hEdz ;aword YTIGk ;aword 
w^twRdzEspESxliwRInItD@tSi : w^twRdzEspESxliwR ;aword In ;aword It ;aword D@t ;aword Si ;aword 
wElwRdzlYkvxnIlxYskrimYmYmnatSUr : wEl ;aword wRdz ;aword lYkvxnIlxYskrimYmYmnat ;aword SUr ;aword 
YTctD@tw^zegUdwRdbxkczItsnatInWRbUk : YTctD@tw^zegUdwRd ;aword bxkczIt ;aword snatInWRbUk ;aword 
WRbUkh@zs^mTIGlYkJEliJarz@ndJ@m@ndSiz : WRbUk ;aword h@z ;aword s^mTIG ;aword lYkJEliJarz@ndJ@m@nd ;aword Siz ;aword 
EksEptSinozw^tJEliIz : EksEpt ;aword Sinoz ;aword w^tJEli ;aword Iz ;aword 
b^t : b^t ;aword 
anD^^DRh@ndw^n^vD^bUksanh@dlats^v : anD^^DRh@ndw^n^v ;aword D^bUks ;aword anh@dlats^v ;aword 
yR@ndSizprItigUdxbWtyElIGfcrIt : yR ;aword @nd ;aword Siz ;aword prItigUdxbWtyElIGfcr ;aword It ;aword 
bIb : bIb ;aword 
bIb : bIb ;aword 
gImiD@tbIb : gImi ;aword D@t ;aword bIb ;aword 
YtrYtunath@vhRwerItletlibxkczSizbInitIG : YtrYtunat ;aword h@v ;aword hRwerItletlibxkcz ;aword Siz ;aword bInitIG ;aword 
SitcksxbWtdrIGkIGD^mIlk^pWt^vD^k^pd^zSi : Si ;aword tcksxbWtdrIGkIGD^mIlk^pWt^vD^k^p ;aword d^zSi ;aword 
yRSid^zSih@zelItxlbluk^p : yR ;aword Sid^z ;aword Si ;aword h@z ;aword e ;aword lItxlbluk^p ;aword 
@ndyadrIGkyuJusWt^vIttu : @nd ;aword yadrIGkyuJusWt^v ;aword It ;aword tu ;aword 
Derw^zerutinanfidIGs^mTIGtuD^dcg : Derw^zerutinanfidIG ;aword s^mTIG ;aword tuD^dcg ;aword 
d^zSifidD^dcg : d^zSifidD^dcg ;aword 
SifidzD^dcgclD^tYm : SifidzD^dcgclD^tYm ;aword 
EvriTIGSiznatsxpozdtu : EvriTIG ;aword Siz ;aword natsxpozdtu ;aword 
hRmil : hRmil ;aword 
SilfidD^dcgSilpIkWtclD^gUdst^f : SilfidD^dcg ;aword Sil ;aword pIkWtclD^gUdst^f ;aword 
hirh@vs^mgUdst^f : hirh@vs^mgUdst^f ;aword 
yusEdtuhR@tw^npOnthuduyusiInD^mIrR : yusEd ;aword tu ;aword hR@tw^npOnthu ;aword du ;aword yu ;aword siInD^mIrR ;aword 
h@vyuD@t : h@v ;aword yuD@t ;aword 
D@tshardfcrmEni^vD^CIldrIntudu : D@tshardfcrmEni^vD^CIldrIn ;aword tu ;aword du ;aword 
SiplezwIDmIrRzclD^tYm : Si ;aword plezwIDmIrRzclD^tYm ;aword 
J^stYclwezdIdwEnYw^zelItxlkId@ndYrxmEmbRmY : J^stYclwezdId ;aword wEn ;aword Yw^zelItxlkId ;aword @nd ;aword YrxmEmbRmY ;aword 
bxsYdzhRsElf : bxsYdzhRsElf ;aword 
duyuTIGkyuhElphRbY@skIG : du ;aword yu ;aword TIGk ;aword yu ;aword hElphRbY@skIG ;aword 
huduyusi : hu ;aword du ;aword yu ;aword si ;aword 
oyRwElfRst^vclwEnyulUkInemIrR : oyR ;aword wElfRst^vcl ;aword wEn ;aword yu ;aword lUkInemIrR ;aword 
DerzsIndi : DerzsIndi ;aword 
cr : cr ;aword 
lUk@tsIndi : lUk@t ;aword sIndi ;aword 
soSikUdsihWdRtihRfesw^zcrw^zIntsoYkUdwcS : soSikUdsihWdRtihRfesw^z ;aword cr ;aword w^zInt ;aword soYkUdwcS ;aword 
@ndSiwUdbimorplizdIfItwRdRtitulEtmiwcS : @nd ;aword Si ;aword wUdbimorplizd ;aword If ;aword It ;aword wRdRti ;aword tu ;aword lEtmiwcS ;aword 
soD@tswRktWtvEriwEl : soD@tswRktWtvEri ;aword wEl ;aword 
DerwRelat^vwRdzxbWtD^gardxn@ndD@th@pxnd : DerwRelat^vwRdzxbWtD^gardxn@nd ;aword D@t ;aword h@pxnd ;aword 
wih@vstrcbErizInWRgardxn : wih@v ;aword strcbEriz ;aword InWRgardxn ;aword 
SizvErixwEr^vDozbxkczDeargroIGD^ : SizvErixwEr^vDozbxkczDeargroIGD^ ;aword 
gost@kyUrblaks : go ;aword st@kyUrblaks ;aword 
pIkclD^blaks^p : pIkclD^blaks^p ;aword 
h@zSistartIdtuwRkmorwIDhRonSuz : h@z ;aword Si ;aword startId ;aword tu ;aword wRkmorwIDhRonSuz ;aword 
wElSuzyEs : wEl ;aword Suz ;aword yEs ;aword 
SitrYztupUtDEman@ndSitrYztupUthRkloDzan : SitrYz ;aword tu ;aword pUtDEma ;aword n@nd ;aword SitrYz ;aword tu ;aword pUthRkloDzan ;aword 
b^tSihElpsmiwEnwEnYm^ndrEsIGhRlYk : b^tSi ;aword hElpsmi ;aword wEn ;aword wEn ;aword Ym^ndrEsIGhRlYk ;aword 
SizclwezvErigUdwEnyudrEshR : Siz ;aword clwezvErigUdwEnyudrEshR ;aword 
yatElhRtupUthRarmzTruD^holz@ndSiwIlduD@t : yatElhR ;aword tu ;aword pUthRarmzTruD^holz ;aword @nd ;aword Si ;aword wIldu ;aword D@t ;aword 
@ndSizgatxnhRlEftlEgbxkczD^daktRsEzclwez : @nd ;aword SizgatxnhRlEftlEgbxkczD^daktRsEz ;aword clwez ;aword 
lEftlEg : lEftlEg ;aword 
SilYksD^fon : SilYksD^fon ;aword 
d^zSiplewIDD^fonnWSiw^zl@sttYm : d^zSi ;aword plewIDD^fonnW ;aword Si ;aword w^zl@sttYm ;aword 
yRwElhRd@diztckttuhR : yR ;aword wEl ;aword hRd@diztckttuhR ;aword 
hizbInb@k@ndforTInnuycrkwIDhIzb@ndsohikclz : hizbInb@k@ndforTInnuycrkwIDhIzb@ndsohikclz ;aword 
@ndSitckstuhImItsrixlikyut : @nd ;aword Si ;aword tckstuhIm ;aword Its ;aword rixlikyut ;aword 
wIlSi@kCuxlitckanD^fon : wIlSi@kCuxlitckanD^fon ;aword 
SiltElhImw^tSizd^nIntucrTriwRdzlYkIf : SiltElhImw^t ;aword Siz ;aword d^nIn ;aword tu ;aword crTri ;aword wRdz ;aword lYkIf ;aword 
SiwEnttuD^oSInSitoldhImoSIn : Si ;aword wEnt ;aword tu ;aword D^oSInSitoldhImoSIn ;aword 
Itsof^ni : It ;aword sof^ni ;aword 
w^tdIdSisiDer : w^tdId ;aword Si ;aword siDer ;aword 
w^tdIdSilYk : w^tdId ;aword SilYk ;aword 
w^tIdyusi@tD^oSIn : w^tId ;aword yu ;aword si ;aword @tD^oSIn ;aword 
Ymin@tD^xkwErixm : Ymin ;aword @tD^xkwErixm ;aword 
fIS : fIS ;aword 
dIdyusiSark : dId ;aword yu ;aword siSark ;aword 
bIgSark : bIgSark ;aword 
rixlinit : rixlinit ;aword 
duyuTIGkSinozD@tDearfIS : du ;aword yu ;aword TIGkSinoz ;aword D@t ;aword DearfIS ;aword 
