a	x
contained	kxntend
container	kxntenR
containers	kxntenRz
containing	kxntenIG
contains	kxntenz
content	kantEnt
contents	kantEnts
context	kantEkst
continually	kxntInyuxli
continue	kxntInyu
continued	kxntInyud
contrary	kantrEri
control	kxntrol
controlled	kxntrold
controller	kxntrolR
controls	kxntrolz
convenience	kxnvinyEnts
conversation	kanvRseSxn
conversations	kanvRseSxnz
cook	kUk
cooked	kUkt
cookie	kUki
cookies	kUkiz
cooking	kUkIG
cooks	kUks
cool	kul
cooled	kuld
cooler	kulR
cooling	kulIG
coop	kup
cooperate	koapRet
cooperating	koapRetIG
cooperative	koapRxtIv
coordinate	koardInet
coordination	koardIneSxn
copied	kapid
coppertone	kapRton
cops	kaps
copyright	kapirYt
coral	karxl
cord	kcrd
cords	kcrdz
corduroy	kcrdxrO
corduroy's	kcrdxrOz
cork	kcrk
corked	kcrkt
corn	kcrn
corner	kcrnR
cornfield	kcrnfild
cornish	kcrnIS
corny	kcrni
corral	kxr@l
correct	kxrEkt
correctly	kxrEktli
correspondence	kcrxspandxns
cosby	kczbi
cost	kast
costs	kasts
cotton	katxn
cottontail	katxntel
couch	kWC
couches	kWCIz
cough	kcf
coughing	kcfIG
could	kxd
couldn't	kxdxnt
counselor	kWnsxlR
count	kWnt
counted	kWntId
counter	kWntR
countertop	kWntRtap
counting	kWntIG
countries	k^ntriz
country	k^ntri
counts	kWnts
county	kWnti
couple	k^pxl
coupon	kupan
coupons	kupanz
course	kcrs
courting	kartIG
cousin	k^zxn
cousins	k^zxnz
cover	k^vR
covered	k^vRd
covering	k^vRIG
covers	k^vRz
cow	kW
cow's	kWz
cowabunga	kWxb^ngx
cowboy	kWbO
cowpokie	kWpoki
cows	kWz
cozy	kozi
crab	kr@b
crabbie	kr@bi
crabbing	kr@bIG
crabby	kr@bi
crack	kr@k
cracked	kr@kt
cracker	kr@kR
crackers	kr@kRz
crackery	kr@kRi
cracky	kr@ki
cradle	kredxl
cradles	kredxlz
cramped	kr@mpt
cranberries	kr@nbEriz
cranberry	kr@nbEri
crane	kren
cranium	krenixm
crank	kr@Gk
crankiness	kr@GkinEs
cranky	kr@Gki
crap	kr@p
crash	kr@S
crashed	kr@St
crashes	kr@Sxz
crashing	kr@SIG
crawl	krcl
crawled	krcld
crawler	krclR
crawling	krclIG
crawls	krclz
crayon	krean
crayons	kreanz
crazed	krezd
crazy	krezi
cream	krim
creamy	krimi
creates	kriets
creative	kiretIv
creatively	krietIvli
creature	kriCR
creatures	kriCRz
credit	krEdIt
credited	krEdItxd
crediting	krEdItIG
credits	krEdIts
creek	krik
creep	krip
creepy	kripi
crew	kru
crib	krIb
cribbie	krIbi
crickets	krIkxts
cried	krYd
crinkles	krIGkxlz
crinkling	krIGkxlIG
crinkly	krIGkxli
crispier	krIspiR
crispiest	krIspiEst
crispy	krIspi
crisscross	krIskras
critter	krItR
croakity	krokxti
crock	krak
crocodile	krakxdYl
crocodiles	krakxdYlz
crocodiles'	krakxdYlz
crocuses	kroCxsxs
crooked	krUkxd
crooks	krUks
cross	kras
crossed	krast
crossing	krasIG
crosss	kras
crow	kro
crowd	krWd
crowded	krWdxd
crowed	krod
crown	krWn
crud	kr^d
cruise	kruz
crumb	kr^m
crumble	kr^mbxl
crumbs	kr^mz
crunch	kr^nC
crunchies	kr^nCiz
crunchy	kr^nCi
crush	kr^S
crust	kr^st
crusted	kr^stxd
crusty	kr^sti
cry	krY
crybaby	krYbebi
crying	krYIG
crystals	krIstxlz
cub	k^b
cubby	k^bi
cube	kyub
cubes	kyubz
cucumber	kyuk^mbR
cucumbers	kyukZmbRz
cuddly	k^dxli
cuetip	kyutIp
cup	k^p
cupboard	k^bRd
cupboard's	k^bRdz
cupcake	k^pkek
cupcake's	k^pkeks
cupcakes	k^pkeks
cupfuls	k^pfUlz
cups	k^ps
cups	k^ps
curb	kRb
curds	kRdz
curious	kyUrixs
curl	kRl
curled	kRld
curly	kRli
current	kRxnt
curse	kRs
curtain	kRtxn
curtains	kRtxnz
curvy	kRvi
cushion	kUSxn
cushioned	kUSxnd
cushions	kUSxnz
cut	k^t
cute	kyut
cutest	kyutIst
cutesy	kutsi
cutey	kyuti
cutie	kyuti
cutiepie	kyutipY
cutting	k^tIG
cymbals	sImbxlz
czech	CEk
czechoslovakia's	CEkxslxvakixz
d	di
d@l	di
da	da
dab	d@b
dab@c	d@b
dabby@c	d@b
dad	d@d
dad'll	d@dxl
dad's	d@dz
dada	d@d@
dada's	d@d@z
dadada	d@d@d@
dadada's	d@d@d@z
dadada@o	d@d@d@
dadadada@o	d@d@d@d@
daddy	d@di
daddy'd	d@did
daddy's	d@diz
daffodil	d@fxdIl
daffodils	d@fxdIlz
daffy	d@fi
daily	deli
dainty	denti
dairy	dEri
daisies	deziz
daisy	dezi
dakota	dxkota
dakota's	dxkotaz
dale	del
dalmatian	d@lmeSxn
dalmatians	d@lmeSxnz
damage	d@mxJ
damaged	d@mxJd
damages	d@mxJxz
damaging	d@mxJIG
dame	dem
damn	d@m
damp	d@mp
dan	d@n
dan's	d@nz
dance	d@ns
dances	d@nsxz
dancing	d@nsIG
dandelion	d@ndilYxn
dandy	d@ndi
dang	deG
dangerous	denJRxs
daniel	d@nyxl
dapper	d@pR
dare	dEr
daring	dErIG
dark	dark
darling	darlIG
darn	darn
dat	d@t
date	det
daughter	dctR
david	devId
davis	devIs
dawn	dcn
dawn's	dcnz
day	de
day's	dez
daycare	dekEr
daydreaming	dedrimIG
days	dez
daytime	detYm
daze	dez
dazey	dezi
dead	dEd
deal	dil
dear	dIr
deborah	dEbrx
debra	dEbrx
december	disEmbR
decent	disxnt
decibels	dEsxbxlz
decide	dIsYd
decided	dIsYdId
decisions	dIsIZxnz
deck	dEk
declare	dIklEr
declared	dIklErd
declares	dIklErz
declaring	dIklErIG
decoration	dEkareSxn
decorations	dEkcreSxnz
deep	dip
deepest	dipxst
deer	dIr
defender	dIfEndR
definitely	dEfxnItli
definition	dEfxnISxn
defrost	dIfrcst
degree	dIgri
degrees	dIgriz
dehydrated	dihYdretxd
delay	dIle
delete	dIlit
deleting	dIlitIG
delicious	dIlISxs
delighted	dIlYtId
deliver	dIlIvR
delivers	dIlIvRz
dell	dEl
deluxe	dil^ks
demand	dIm@nd
demolition	dEmxlISxn
demonstrate	dEmxnstret
dennis	dEnIs
dense	dEns
dentist	dEntIst
dentist's	dEntIsts
deny	dInY
depend	dIpEnd
depended	dIpEndxd
depending	dIpEndIG
depends	dIpEndz
deposit	dIpazIt
deprive	dIprYv
deprived	dIprYvd
derived	dIrYvd
desert	dEzRt
deserve	dIzRv
design	dIzYn
desire	dIzYR
desitin	dEzItIn
desk	dEsk
despise	dIspYz
dessert	dIzRt
destroy	dIstrO
destroying	dIstrOIG
destruction	dIstr^kSxn
destructive	dIstr^ktIv
detergent	dItRJEnt
detergents	dItRJEnts
determine	dItRmxn
determined	dItRmxnd
detour	ditar
device	dIvYs
devil	dEvxl
devon	dEvxn
devotion	dIvoSxn
devour	divWr
dew	du
dextrous	dEkstrxs
dial	dYxl
dialect	dYxlEkt
dialing	dYxlIG
dials	dYxlz
diamond	dYmxnd
diamonds	dYmxndz
diaper	dYpR
diapers	dYpRz
diapie	dYpi
diarrhea	dYxrix
dickory	dIkRi
dictionary	dIkSxnEri
did	dId
diddle	dIdxl
didey	dYdi
dideys	dYdiz
didi@o	didi
dididi@o	dididi
didn't	dIdxnt
die	dY
died	dYd
dieing	dYIG
dies	dYz
diesha	dYiSx
diet	dYxt
dieting	dYxtIG
diets	dYxts
difference	dIfrxns
differences	dIfrxnsxz
different	dIfrxnt
differentiate	dIfxrEnSiet
differently	dIfrxntli
difficult	dIfIk^lt
difficulty	dIfIk^lti
dig	dIg
digby	dIgbi
digger	dIgR
digging	dIgIG
digits	dIJIt
digs	dIgz
dillards	dIlRdz
dillon	dIlxn
dillon's	dIlxnz
dimples	dImpxlz
ding	dIG
dining	dYnIG
dinner	dInR
dinners	dInRz
dinnertime	dInRtYm
dinosaur	dYnxscr
dinosaur's	dYnxscrz
dip	dIp
dips	dIps
dipsie	dIpsi
dipsy	dIpsi
direct	dIrEkt
directing	dIrEktIG
direction	dIrEkSxn
directions	dIrEkSxnz
dirt	dRt
dirt's	dRts
dirty	dRti
dis	dIs
disappear	dIsxpIr
disappeared	dIsxpIrd
disappearing	dIsxpIrIG
disappointing	dIsxpOntIG
disaster	dIz@stR
disc	dIsk
discontent	dIskxntEnt
discover	dIsk^vR
discovered	dIsk^vRd
discoverer	dIsk^vRR
discovery	dIsk^vRi
discs	dIsks
discuss	dIsk^s
discussed	dIsk^st
discussion	dIsk^Sxn
disguised	dIskYzd
disgust	dIsg^st
disgusted	dIsg^stxd
disgusting	dIsg^stIG
dish	dIS
dishes	dISxz
dishrag	dISr@g
dishwasher	dISwaSR
disinfected	dIsInfEktxd
dismantle	dIsm@ntxl
dismay	dIsme
disney	dIzni
disney's	dizniz
disobedient	dIsobidixnt
disobey	dIsobe
disposal	dIzpozxl
dispose	dIzpoz
disposition	dIspxzISxn
distinct	dIstIGkt
distinction	dIstIGkSxn
distinguishes	dIstIGgwISIz
distracted	dIstr@ktxd
distracting	dIstr@ktIG
distraction	dIstr@kSxn
distracts	dIstr@kts
disturb	dIstRb
ditty	dIti
dive	dYv
dived	dYvd
dives	dYvz
divine	dIvYn
diving	dYvIG
dizzy	dIzi
do	du
do@si	dosi
dock	dak
doctor	daktR
doctor's	daktRz
dodge	daJ
does	d^z
doesn't	d^zxnt
dog	dcg
dog's	dcgz
doggie	dcgi
doggie's	dcgiz
doggies	dcgiz
doggone	dcgan
doggy	dcgi
doggy's	dcgiz
doghouse	dcghWs
dogs	dcgz
doing	duIG
doll	dal
doll's	dalz
dollar	dalR
dollars	dalRz
dollhouse	dalhWs
dollie	dali
dollie's	daliz
dollies	daliz
dolls	dalz
dolly	dali
dolly's	daliz
dolphin	dalfIn
dolphins	dalfInz
dome	dom
domestic	dxmEstIk
don	dan
don't	dont
donald	danxld
donald's	danxldz
done	d^n
dong	daG
donkey	daGki
donkeys	daGkiz
donna	danx
donovan	danxvxn
donut	donxt
doo	du
doodle	dudxl
doodoo	dudu
doopsie	dupsi
door	dcr
door's	dcrz
doorbell	dcrbEl
doorbells	dcrbElz
doors	dcrz
doorstop	dcrstap
doorway	dcrwe
doozy	duzi
doremifasolatido@si	doremifasolatido
dorm	darm
dos	duz
dot	dat
doting	dotIG
dotty	dati
double	d^bxl
doubling	d^blIG
doubt	dWt
dough	do
doughnut	don^t
doughnuts	don^ts
dove	dov
dover	dovR
down	dWn
downie	dWni
download	dWnlod
downloaded	dWnlodxd
downstairs	dWnstErz
downstream	dWnstrim
downtown	dWntWn
downy	dWni
doze	doz
dozen	d^zxn
drag	dr@g
dragged	dr@gd
dragging	dr@gIG
dragon	dr@gxn
dragon's	dr@gxnz
dragonfly	dr@gxnflY
dragons	dr@gxnz
drags	dr@gz
drags	dr@gz
drain	dren
drainage	drenxJ
drama	dramx
dramatic	drm@tIk
drank	dr@Gk
drape	drep
draw	drc
drawer	drcr
drawers	drcrz
drawing	drcIG
draws	drcz
dreadful	drEdfxl
dream	drim
dreamed	drimd
dreaming	drimIG
dreams	drimz
dreamy	drimi
drenched	drEnCt
dress	drEs
dressed	drEst
dresser	drEsR
dresses	drEsIz
dressing	drEsIG
drew	dru
dried	drYd
drill	drIl
drink	drIGk
drink's	drIGks
drinkie	drIGki
drinking	drIGkIG
drinks	drIGks
drip	drIp
dripping	drIpIG
drippy	drIpi
drips	drIps
drive	drYv
driver	drYvR
drives	drYvz
driveway	drYvwe
driving	drYvIG
drool	drul
drooling	drulIG
drooly	druli
droopy	drupi
drop	drap
dropped	drapt
dropping	drapIG
drops	draps
drove	drov
drown	drWn
drum	dr^m
drum's	dr^mz
drummer	dr^mR
drumming	dr^mIG
drummond	dr^mxnd
drums	dr^mz
drunk	dr^Gk
drunken	dr^Gkxn
dry	drY
dryer	drYR
drying	drYIG
drys	drYz
dub	d^b
duck	d^k
duckie	d^ki
duckie's	d^kiz
duckies	d^kiz
ducklings	d^klIGz
ducks	d^ks
dude	dud
due	du
dueling	dulIG
dug	d^g
dukes	duks
dum	d^m
dumb	d^m
dumbo	d^mbo
dummy	d^mi
dump	d^mp
dumped	d^mpt
dumping	d^mpIG
dumpling	d^mplIG
dumpty	d^mpti
dumpty's	d^mptiz
duplo	duplo
duress	dUrEs
during	dUrIG
dust	d^st
dusted	d^stxd
dusting	d^stIG
dustpan	d^stp@n
dusty	d^sti
dvd	dividi
dwight	dwYt
dya	dyx
dye	dY
dyed	dYd
dyeisha	dYiSx
dyeisha's	dYiSxz
dyes	dYz
dyiesha	dYiSx
dying	dYIG
e	i
e@l	i
e@l-s	i
each	iC
ear	Ir
ear's	Irz
earache	Irek
eardrum	Irdr^m
earlier	RliR
early	Rli
earned	Rnd
earphones	Irfonz
earring	IrIG
earrings	IrIGz
ears	Irz
earth	RT
earthquake	RTkwek
ease	iz
easier	iziR
easiest	iziIst
easily	izli
easter	istR
easy	izi
eat	it
eaten	itxn
eater	itR
eating	itIG
eats	its
ecosystem	ikosIstxm
ecta@q	Ektx
eddie	Edi
eden	idxn
edge	EJ
edges	Egxz
edible	Edxbxl
educational	EJUkeSxnxl
edward	EdwRd
eel	il
eensie	insi
eeyore	iar
effort	EfRt
efg@k	iEfJi
egg	Eg
eggfooyung	Egfuy^G
eggs	Egz
eh	E
eight	et
eighteen	etin
eighth	eT
either	iDR
el	El
elastic	Il@stIk
elbow	Elbo
elbows	Elboz
eleanor	ElxnR
electrical	IlEktrIkxl
electrician	IlEktrISxn
electricity	IlEktrIsIti
electrocute	IlEktrpkyut
electrocuted	IlEktrokyutxd
electrolytes	IlEktrolYts
electronically	IlEktranIkli
elegant	Elxgxnt
elephant	Elxfxnt
elephant's	Elxfxnts
elephants	Elxfxnts
eleven	IlEvxn
eleventh	IlEvxnT
elijah	IlYJx
elisse	Elis
elizabeth	IlIzxbET
elizabeth's	IlIzxbETs
ella	Elx
ellie	Eli
elmo	Elmo
elmo's	Elmoz
else	Els
else's	ElsIz
eluded	IludId
elves	Elvz
email	imel
embarrassed	EmbErxst
emergency	ImRJxnsi
emily	EmIli
emmy	Emi
emmy's	Emiz
emote	Imot
emotional	ImoSxnxl
emperor's	EmpRRz
empty	Empti
enamel	In@mxl
encourage	EnkRIJ
encouraged	EnkRIJd
encouraging	EnkRIJIG
end	End
ended	EndId
endlessly	Endlxsli
ends	Endz
enemy	Enxmi
energy	EnRJi
engine	EnJxn
english	IGglIS
enjoy	EnJO
enjoyed	EnJOd
enjoying	EnJOIG
enjoys	EnJOz
enormous	Inarmxs
enough	In^f
enter	EntR
entered	EntRd
entering	EntRIG
enters	EntRz
entertained	EntRtend
entertaining	EntRtenIG
entertainment	EntRtenmxnt
enthusiastic	EnTuzi@stIk
entice	EntYs
entire	EntYr
entirely	EntYrli
entrance	Entrxns
entrapment	Entr@pmxnt
entry	Entri
envelope	Envxlop
envelopes	Envxlops
environment	EnvYrxnmxnt
equipment	IkwIpmxnt
er	R
eric	ErIk
erin	ErIn
ernie	Rni
ernie's	Rniz
escape	Eskep
escaped	Eskept
especially	IspESxli
estate	Estet
eternal	itRnxl
etti	Eti
european	yUrxpixn
evaporate	Iv@pRet
evaporated	Iv@pRetxd
eve	iv
even	ivxn
evening	ivnIG
event	IvEnt
eventually	IvEnCxli
ever	EvR
every	Evri
everybody	Evribadi
everybody's	Evribadiz
everyone	Evriw^n
everyone's	Evriw^nz
everyplace	Evriples
everything	EvriTIG
everything's	EvriTIGz
everywhere	EvriwEr
evil	ivxl
ew	u
ewe	yu
ewie	yui
exact	Igz@kt
exactly	Igz@ktli
exalted	Igzaltxd
examples	Igz@mpxlz
excellent	EgsElxnt
except	IksEpt
excess	EksEs
excited	IksYtId
excitement	IksYtmxnt
exciting	IksYtIG
excuse	Iksyus
excuses	IkskyusIz
exercise	EksRsYz
exercises	EksRsYzxz
exercising	EksRsYzIG
exersaucer	EksRscsR
exert	IgzRt
exhibits	EgzIbIts
exists	IgzIsts
exodus	Eksodxs
expect	IkspEkt
expectations	IkspEkteSxnz
expected	IkspEktxd
expecting	IkspECtIG
expects	IkspEkts
expedition	EkspxdISxn
expensive	IkspEnsIv
experience	IkspIrixns
experiment	IkspErImxnt
explain	Iksplen
explanation	IksplxneSxn
exploded	Iksplodxd
explore	Iksplcr
exploring	IksplcrIG
explosion	IksploZxn
exposed	Ikspozd
express	IksprEs
expresses	IksprEsxz
expression	IksprESxn
extent	IkstEnt
external	IkstRnxl
extinguisher	EkstIGgwISR
extra	Ekstrx
extract	Ekstr@kt
extracted	Ekstr@ktxd
extracting	Ekstr@ktIG
extracts	Ekstr@kts
extraordinarily	IkstrcrdxnErxli
extraordinary	IkstrcrdxnEri
extremely	Ikstrimli
eye	Y
eyeball	Ybcl
eyebrow	YbrW
eyebrows	YbrWz
eyeglass	Ygl@s
eyeglasses	Ygl@sxz
eyeore	iar
eyes	Yz
eyesight	YsYt
eyore	iar
eyore's	iarz
f	Ef
f@l	Ef
fa@si	fasi
fabulous	f@byulxs
face	fes
facecloth	fesklaT
faced	fest
faces	fesxs
facie	fesi
facing	fesIG
fact	f@kt
fade	fed
fair	fEr
fairies	fEriz
fairly	fErli
fairy	fEri
faithful	feTfxl
fake	fek
faked	fekt
faker	fekR
fakes	feks
faking	fekIG
fall	fcl
fallen	fclxn
falling	fclIG
falls	fclz
false	fcls
familiar	fxmIlyR
families	f@mliz
family	f@mli
famous	femxs
fan	f@n
fan's	f@nz
fancy	f@nsi
fanny	f@ni
fantabalocious	f@nt@bxloSxs
fantastic	f@nt@stIk
far	far
faraway	farxwe
farm	farm
farmer	farmR
farmer's	farmRz
farmyard	farmyard
fart	fart
farted	fartxd
farther	farDR
fartie	farti
fascinated	f@sxnetId
fascinating	f@sxnetIG
fascination	f@sxneSxn
fast	f@st
fasten	fcrsxn
fastens	fcrsxnz
faster	f@stR
fat	f@t
fates	fets
father	faDR
father's	faDRz
fathers	faDRz
fault	fclt
favor	fevR
favorite	fevrIt
favorites	fevrIts
favoritest	fevrItxst
fawn	fcn
faye	fe
fear	fIr
feast	fist
feather	fEDR
feathers	fEDRz
feathery	fEDRi
fed	fEd
fee	fi
feed	fid
feeder	fidR
feeding	fidIG
feeds	fidz
feel	fil
feeling	filIG
feelings	filIGz
feels	filz
fees	fiz
feet	fit
feet'll	fitxl
feetie	fiti
feeties	fitiz
feets	fits
feetsies	fitsiz
feisty	fYsti
fell	fEl
fella	fElx
fellow	fElo
felt	fElt
fence	fEnts
fenced	fEntst
fennel	fenxl
ferocious	fxroSxs
ferris	fErIs
ferry	fEri
fetch	fEtC
fettuccini	fEtxCini
fever	fivR
few	fyu
fiber	fYbR
fickle	fIkxl
fiddle	fIdxl
fiddles	fIdxlz
fido	fYdo
field	fild
fifferfefferfeff	fIfRfEfRfEf
fifteen	fIftin
fifteenth	fIftinT
fifth	fIfT
fiftieth	fIfiET
fifty	fIfti
fig	fIg
fight	fYt
fighter	fYtR
fighting	fYtIG
figs	fIgz
figure	fIgyR
figured	fIgyRd
figures	fIgyRz
figuring	fIgyRIG
fill	fIl
filled	fIld
filling	fIlIG
film	fIlm
filthy	fIlTi
fin	fIn
finally	fYnxli
find	fYnd
finding	fYndIG
findow@n	fIndo
finds	fYndz
fine	fYn
finger	fIGgR
fingernail	fIGgRnel
fingernails	fIGgRnelz
fingerprints	fIGgRprInts
fingers	fIGgRz
finicky	fInIki
finish	fInIS
finished	fInISt
finishing	fInISIG
fins	fInz
fiona	fionx
fir	fR
fire	fYR
firefly	fYrflY
fireplace	fYrples
fires	fYrz
firmly	fRmli
first	fRst
fish	fIS
fishbowl	fISbol
fisher	fISR
fishes	fISxz
fishie	fISi
fishie's	fISiz
fishies	fISiz
fishing	fISIG
fist	fIst
fists	fIsts
fit	fIt
fits	fIts
fitti	fIti
fitting	fItIG
fittis	fItIs
fitzgerald	fItzJErxld
fitzpatrick's	fItsp@trIks
five	fYv
fix	fIks
fixable	fIksxbxl
fixed	fIkst
fixes	fIksxz
fixing	fIksIG
fixit	fIksIt
flag	fl@g
flair	flEr
flairs	flErz
flakes	fleks
flamingo	flxmIGgo
flap	fl@p
flaps	fl@ps
flash	fl@S
flashcard	fl@Skard
flashes	fl@Sxz
flashlight	fl@SlYt
flat	fl@t
flavor	flevR
flavored	flevRd
flavorful	flevRfxl
fleas	fliz
fleet	flit
flew	flu
flicked	flIkt
flip	flIp
flipflop	flIpflap
flipflops	flIpflaps
flipping	flIpIG
flips	flIps
flirting	flUrtIG
float	flot
floating	flotIG
floats	flots
floor	flcr
floor's	flcrz
floors	flcrz
flop	flap
floppy	flapi
flopsy	flapsi
flouncy	flWntsi
flour	flWr
flow	flo
flower	flWR
flower's	flWRz
flowers	flWRz
flowing	floIG
flows	floz
fluff	fl^f
fluffy	fl^fi
fluids	fluIdz
flush	fl^S
flutter	fl^tR
flutters	fl^tRz
fly	flY
flyer	flYR
flying	flYIG
flys	flYz
flyswatter	flYswatR
foam	fom
focussed	fok^st
fold	fold
folded	foldId
folding	foldIG
folks	foks
follow	falo
followed	falod
following	falowIG
follows	faloz
followtheleader	faloDxlidR
food	fud
foods	fudz
fool	ful
fooled	fuld
fooling	fulIG
foot	fUt
foot's	fUts
football	fUtbcl
footie	fUti
footprints	fUtprInts
foots	fUts
footsies	fUtsiz
for	fcr
foraging	fcrxJIG
forbidden	fcrbIdxn
forced	fcrst
forcing	fcrsIG
forehead	f@hEd
forest	fcrIst
forever	fcrEvR
forget	fRgEt
forgets	fRgEts
forgetting	fRgEtIG
forgive	fRgIV
forgot	fRgat
forgotten	fRgatxn
fork	fcrk
forks	fcrks
formal	fcrmxl
formed	fcrmd
formula	fcrmyxlx
formula's	fcrmyxlxz
formulated	fcrmyxletxd
forsake	fcrsek
forth	fcrT
fortune	fcrCun
forty	fcrti
forum	fcrxm
forward	fcrwRd
fossil	fasxl
foul	fWl
found	fWnd
foundation	fWndeSxn
fountain	fWntxn
four	fcr
fours	fcrz
fourteen	fcrtin
fourteen	fcrtin
fourteenth	fcrtinT
fourth	fcrT
fourths	fcrTs
fox	faks
foxes	faksxz
frame	frem
frank	fr@Gk
frankly	fr@Gkli
freak	frik
freaking	frikIG
fred	frEd
freddy	frEdi
freddy's	frEdiz
free	fri
freedom	frid^m
freeze	friz
freezer	frizR
french	frEnC
fresh	frES
friction	frIkCxn
friday	frYde
fridge	frIJ
fried	frYd
friend	frEnd
friend's	frEndz
friendly	frEndli
friends	frEndz
fries	frYz
frighten	frYtxn
frightened	frYtxnd
frill	frIl
frilly	frIli
frilly's	frIliz
frisbee	frIzbi
frog	frcg
frog's	frcgz
froggie	frcgi
froggie's	frcgiz
frogs	frcgz
from	frxm
front	fr^nt
fronts	fr^nts
frontsies	fr^ntsiz
froot	frut
frosting	frastIG
frosty	frasti
frown	frWn
froze	froz
frozen	frozxn
fruit	frut
fruits	fruts
frustrated	fr^stretxd
frustrating	fr^stretIG
frutti	fruti
fry	frY
frying	frYIG
fufu@c	fufu
full	fUl
fumble	f^mbxl
fun	f^n
function	f^GkSxnz
functions	f^GkSxnz
funniest	f^niEst
funny	f^ni
fur	fR
furby	fRbi
furious	fyRixs
furniture	fRnICR
furry	fRi
further	fRTR
fuss	f^s
fussbucket	f^sb^kxt
fussed	f^st
fusser	f^sR
fussies	f^siz
fussing	f^sIG
fussings	f^sIGz
fusspot	f^spat
fussy	f^si
futon	futan
future	fyuCR
fuzz	f^z
fuzzies	f^ziz
fuzzy	f^zi
g@l	Ji
gabby	g@bi
gabby's	g@biz
gaga	gaga
gail	gel
gail's	gelz
gained	gend
galleria	g@lRix
galley	g@li
galoshes	gxlaSxz
game	gem
games	gemz
gap	g@p
garage	gxraJ
garbage	garbxJ
garden	gardxn
garden's	gardxnz
garland	garl@nd
garlic	garlIk
garret's	gErEts
garrett	gErEt
gas	g@s
gasped	g@spt
gastroenteritis	g@stroEntxrYtIs
gat	g@t
gate	get
gate's	gets
gates	gets
gather	g@DR
gathered	g@DRd
gatorade	getRed
gave	gev
gazing	gezIG
gear	gIr
gears	gIrz
gee	Ji
geese	gis
gels	JElz
gene	Jin
general	JEnRxl
generally	JEnRxli
generate	JenRet
generations	JenReSxnz
generous	JEnRxs
genesis	JEnxsIs
genie	Jini
genie's	Jiniz
genius	Jinyxs
gentle	JEntxl
gentleman	Jentxlmxn
gently	Jentli
george	JcrJ
georgia	JcrJyx
gerber	gRbR
gesundheit	gxz^ndhYt
get	gEt
getieup	gEti^p
gets	gEts
getting	gEtIG
ghetto	gEto
ghost	gost
giant	JYxnt
gibberish	JIbRIS
giddyup	gIdi^p
gift	gIft
gifts	gIfts
gigantic	JYg@ntIk
giggle	gIgxl
gigglegigglegoogaga	gIgxlgIgxlgugaga
gigglegigglegoogoo	gIgxlgIgxlgugu
gigglegigglegoogooga	gIgxlgIgxlguga
gigglegigglegoogoogoo	gIgxlgIgxlgugugu
giggles	gIgxlz
gigi	JiJi
gigi's	JiJiz
gimme	gImi
gimmick	gImIk
gimmicks	gImIks
ginger's	JInJRz
giraffe	Jxr@f
giraffe's	Jxr@fs
giraffes	Jxr@fs
girded	gRdxd
girder	gRdR
girl	gRl
girl's	gRlz
girla	gRlx
girlfriend	gRlfrEnd
girlie	gRli
girls	gRlz
git	gIt
give	gIv
given	gIvxn
giver	gIvR
gives	gIvz
giving	gIvIG
glad	gl@d
gladys	gl@dxs
glass	gl@s
glasses	gl@sIz
globe	glob
gloomy	glumi
glorified	glcrIfYd
glorify	glcrIfY
glorious	glcrixs
glory	glcri
gloss	glcs
glosses	glcsxz
glove	gl^v
gloves	gl^vz
glubglub	gl^bgl^b
glue	glu
glued	glud
glump	gl^mp
gnat	n@t
go	go
goading	godIG
goal	gol
goat	got
goats	gots
gobble	gabxl
god	gad
god's	gadz
godmother	gadm^Dr
gods	gadz
godzilla	gadzIlx
goers	goRz
goes	goz
goggles	gagxlz
going	goIG
gold	gold
golden	goldxn
goldfish	goldfIS
goldie	goldi
goldilocks	goldilaks
golf	gclf
golly	gali
gone	gcn
gonna	gxnx
gonzales	gcnzalEz
good	gUd
goodamus	gUdxmxs
goodbye	gUdbY
goodest	gUdxst
goodness	gUdnIs
goodnight	gUdnYt
goody	gUdi
goof	guf
goofy	gufi
goofy's	gufiz
google	gugxl
googoo	gugu
googooeyed	guguYd
googoogigglegaga	gugugIgxlgaga
googoogigglegagagiggle	gugugIgxlgagagIgxl
googoogoggles	gugugagxlz
goopy	gupi
goose	gus
gooseberry	gusbEri
goosie	gusi
gordon	gcrdxn
gorgeous	gcrJxs
gorilla	gxrIlx
gorillas	gxrIlxz
gosh	g^S
got	gat
gotcha	gatCx
gots	gats
gotta	gatx
gotten	gatxn
gown	gWn
gowns	gWnz
grab	gr@b
grabbed	gr@bd
grabbing	gr@bIG
grabs	gr@bz
grace	gres
gracefully	gresfxli
gracious	greSxs
grade	gred
gradually	gr@Jxli
graduation	gr@JueSxn
graham	gr@m
grain	gren
gram	gr@m
grammatical	grxm@tIkxl
grammatically	grxm@tIkli
grammie	gr@mi
grammy	gr@mi
gramps	gr@mps
grams	gr@mz
grand	gr@nd
grandad	gr@nd@d
grandaddy	gr@nd@di
granddaddy	gr@nd@di
grandma	gr@nma
grandma's	gr@nmaz
grandmama	gr@ndmamx
grandmother	gr@ndm^DR
grandmother's	gr@nm^DR
grandpa	gr@mpa
grandpa's	gr@mpxz
grandparents	gr@npErxnts
grandpas	gr@npxz
granny	gr@ni
granny's	gr@niz
granola	grxnolx
grant	gr@nt
grape	grep
grapefruit	grepfrut
grapes	greps
grasp	gr@sp
grass	gr@s
grasses	gr@sxz
grasshopper	gr@shapR
grate	gret
grateful	gretfxl
